ETC_20150317_000001	Kepa
ETC_20150317_000048	Vubbe-Kämpfer
ETC_20150317_000049	Blauvubbe-Kämpfer
ETC_20150317_000050	Rotvubbe-Kämpfer
ETC_20150317_000051	Es ist nicht bekannt, ob Vubbe-Kämpfer ausgebildet werden oder von Natur aus gut kämpfen können.
ETC_20150317_000052	Golem
ETC_20150317_000053	Graugolem
ETC_20150317_000054	Meduse
ETC_20150317_000055	Es heißt, dass die Medusen benutzt werden können, um mit den Seelen der Toten zu sprechen.
ETC_20150317_000056	Blaumeduse
ETC_20150317_000057	Grünmeduse
ETC_20150317_000058	Rotmeduse
ETC_20150317_000059	Forscher haben herausgefunden, dass Pflanzen Seelen haben. Die Medusen sind die mutierte Form solcher Seelen.
ETC_20150317_000060	Medusenlarven
ETC_20150317_000061	Ellaganos
ETC_20150317_000062	Stichling
ETC_20150317_000063	Manch einer behauptet, er würde lieber von einem Pfeil getroffen werden, als einen Stich von einem Stichling zu ertragen.
ETC_20150317_000064	Puragi
ETC_20150317_000065	Es ist ein gut gehütetes Geheimnis, dass die Dämonen während des Bürgerkrieges die Puragi heimlich eingesetzt haben, um Ruklys-Soldaten anzugreifen.
ETC_20150317_000066	Blaupuragi
ETC_20150317_000067	Blaupuragi töten und plündern gerne.
ETC_20150317_000068	Grünpuragi
ETC_20150317_000069	Niemand hat je das Gesicht hinter der Maske gesehen.
ETC_20150317_000070	Rotpuragi
ETC_20150317_000071	Großer Puragi
ETC_20150317_000072	Zigri
ETC_20150317_000073	Braunzigri
ETC_20150317_000074	Diese Dämonenlakaien lieben es, andere abzuschlachten.
ETC_20150317_000075	Schwarzzigri
ETC_20150317_000076	Ein Dämonenlakai, der überall anzutreffen ist.
ETC_20150317_000077	Rotzigri
ETC_20150317_000078	Fischer
ETC_20150317_000079	Fischer werden deshalb als Monster eingestuft, weil sie Kreaturen mit ihrer Angelrute kontrollieren.
ETC_20150317_000080	Blaufischer
ETC_20150317_000081	Grünfischer
ETC_20150317_000082	Rotfischer
ETC_20150317_000083	Die Handlungen dieses Fischers ergeben oft keinen Sinn.
ETC_20150317_000084	Gribaru
ETC_20150317_000085	Der obere Teil des Stiels kann für verschiedene Zwecke verwendet werden, wie z. B. zum Freisetzen von Lockstoffen und zum Erkennen versteckter Ziele.
ETC_20150317_000086	Großgribaru
ETC_20150317_000087	Dornenwald-Griba
ETC_20150317_000088	Matsum
ETC_20150317_000089	Ob das Matsum aus einer Pflanze, einem Tier oder einem Mineral stammt, ist nicht von Bedeutung. Du solltest allerdings wissen, dass es gefährlich ist.
ETC_20150317_000090	Matsuma
ETC_20150317_000091	Mirtis' Ego
ETC_20150317_000092	Molich
ETC_20150317_000093	Minigriba
ETC_20150317_000094	Grüngriba
ETC_20150317_000095	Rotgriba
ETC_20150317_000096	Obwohl sie durch ihre leuchtende Farbe leicht auszumachen sind, ist es dennoch schwer, ihren Angriffen auszuweichen.
ETC_20150317_000097	Gelbgriba
ETC_20150317_000098	Großer Rotgriba
ETC_20150317_000099	Großgriba
ETC_20150317_000100	Dieses Monster wurde einst als schwer zu blocken und zäh zu essen beschrieben.
ETC_20150317_000101	Großer Blaugriba
ETC_20150317_000102	Ein großes, starkes, zähes Monster, das sich nicht gerne jagen lässt.
ETC_20150317_000103	Großer Grüngriba
ETC_20150317_000104	Großer Rotgriba
ETC_20150317_000105	Alter Kepa
ETC_20150317_000106	Kepa altern schnell auf Kosten ihrer Stärke. Achte auf den stechenden Geruch, der mit dem Alter stärker wird.
ETC_20150317_000107	Alter Gelbkepa
ETC_20150317_000108	Alter Schwarzkepa
ETC_20150317_000109	Alter Rotkepa
ETC_20150317_000110	Mit dem Alter verblasst er. Das unterstreicht nur, wie gefährlich er ist.
ETC_20150317_000111	Alter Großkepa
ETC_20150317_000112	Rafflesie
ETC_20150317_000113	Grünrafflesie
ETC_20150317_000114	Schwarzrafflesie
ETC_20150317_000115	Die Blätter dieser Pflanze sind fester als Leder.
ETC_20150317_000116	Rotrafflesie
ETC_20150317_000117	Fliegenraffer
ETC_20150317_000118	Auch in ihrer mutierten Form jagen Fliegenraffer immer noch kleinere Insekten.
ETC_20150317_000119	Blaufliegenraffer
ETC_20150317_000120	Graufliegenraffler
ETC_20150317_000121	Schwarzfliegenraffler
ETC_20150317_000122	Ridimed
ETC_20150317_000123	Blauridimed
ETC_20150317_000124	Obwohl er aus einem Kraut mutiert ist, besteht sein ganzer Körper jetzt aus festem Holz.
ETC_20150317_000125	Schwarzridimed
ETC_20150317_000126	Rotridimed
ETC_20150317_000127	Sakmoli
ETC_20150317_000128	Ein Angriff auf seine Beine führt nicht dazu, dass er umkippt.
ETC_20150317_000129	Grünsakmoli
ETC_20150317_000130	Gelbrot-Sakmoli
ETC_20150317_000131	Schwarzsakmoli
ETC_20150317_000132	Rikaus
ETC_20150317_000133	Grünerscheinung
ETC_20150317_000134	Von Dämonen beeinflusste Geister verändern ihr Aussehen oft in ähnlicher Weise.
ETC_20150317_000135	Schwarzerscheinung
ETC_20150317_000136	Schreckgeist
ETC_20150317_000137	Schwarzschreckgeist
ETC_20150317_000138	Im Gegensatz zu anderen Monstererscheinungen hatten diese Monster sogar böse Seelen, als sie noch gelebt haben.
ETC_20150317_000139	Riesenwiedergänger
ETC_20150317_000140	Arglistiger Wiedergänger
ETC_20150317_000141	Grünrikaus
ETC_20150317_000142	Schreckgeist
ETC_20150317_000143	Wiedergängermonarch
ETC_20150317_000144	Dornenkugel
ETC_20150317_000145	Dieser schwimmende Samen hat sich verwandelt und seinen Flaum gegen eine harte Schale und Dornen eingetauscht. Seine Fähigkeit zu schwimmen, hat er sich jedoch erhalten.
ETC_20150317_000146	Großdornenkugel
ETC_20150317_000147	Waldgeist
ETC_20150317_000148	Blauwaldgeist
ETC_20150317_000149	Grünwaldgeist
ETC_20150317_000150	Waldschrat
ETC_20150317_000151	Die Tatsache, dass der Waldschrat sich nicht bewegen kann, ist ein wahrer Segen.
ETC_20150317_000152	Blauwaldschrat
ETC_20150317_000153	Grauwaldschrat
ETC_20150317_000154	Rotwaldschrat
ETC_20150317_000155	Schattenschleim
ETC_20150317_000156	Obwohl Schleim immer relativ ähnlich aussieht, variiert er, je nachdem, woraus er besteht.
ETC_20150317_000157	Rusratte
ETC_20150317_000158	Diese Wächter wurden in vielen Gruften hinterlassen, um Eindringlinge abzuwehren. Ihr erster Einsatzort war das königliche Mausoleum von Zachariel dem Großen. Ihr Name stammt von den Grabräubern, die ihnen im Laufe der Zeit begegneten.
ETC_20150317_000159	Medakia
ETC_20150317_000160	Die Medakia wurden von den Zauberkundigen am Hof erschaffen, um Eindringlinge abzuwehren, die noch gefährlicher sind als Grabräuber.
ETC_20150317_000161	Raden
ETC_20150317_000162	Raden gehören zu den magischen Wesen, die geschaffen wurden, um die versiegelten Grabstätten zu beschützen, die derzeit nicht bewacht werden.
ETC_20150317_000163	Raden 3
ETC_20150317_000164	Mauros
ETC_20150317_000165	Die Steinkavallerie des königlichen Mausoleums besteht aus magischen Kreaturen, die in der Lage sind, sogar schwerbewaffneten Rittern zu trotzen.
ETC_20150317_000166	Trüffel
ETC_20150317_000167	Aus noch unbekannten Gründen empfindet dieses Monster einen unglaublichen Hass gegenüber Menschen. Es greift lieber Menschen an, statt sich passendere Beute zu suchen oder dafür zu sorgen, dass es selbst am Leben bleibt.
ETC_20150317_000168	Trüffelia
ETC_20150317_000169	Dornicht
ETC_20150317_000170	Dornicht-Ego
ETC_20150317_000171	Wollbrecher
ETC_20150317_000172	Wollbrecherin
ETC_20150317_000173	Hanaming
ETC_20150317_000174	Die Blätter, die von einem toten Hanaming fallen, welken schnell.
ETC_20150317_000175	Chupacabra
ETC_20150317_000176	Nach Medzio Diena ist ihre Anzahl stark angestiegen, sodass sie sich jetzt mit den Menschen um Lebensraum streiten.
ETC_20150317_000177	Grauchupacabra
ETC_20150317_000178	Großer Grauchupacabra
ETC_20150317_000179	Chupacabras bleiben fast unsichtbar, wenn sie sich bewegen. Allerdings ist es für Menschen viel gefährlicher, wenn es sich um Elite-Chupacabras handelt.
ETC_20150317_000180	Gelbchupacabra
ETC_20150317_000181	Popolion
ETC_20150317_000182	Ein Popolion kann angeblich mit seiner Stimme Glasflaschen bersten lassen.
ETC_20150317_000183	Steinga
ETC_20150317_000184	Steingas
ETC_20150317_000185	Skorpion
ETC_20150317_000186	Tontulia
ETC_20150317_000187	Tontulia ist eine beweglichere Mutation des Tontus.
ETC_20150317_000188	Tontus
ETC_20150317_000189	Als Kakteen zu Tontus mutierten, wirkte sich das nicht gut auf das Leben der Bewohner der Wüste aus.
ETC_20150317_000190	Vekarabäus
ETC_20150317_000191	Im Vergleich zu anderen Tierarten hat sich der Vekarabäus nicht sonderlich verändert, als er sich in ein Monster verwandelt hat. Er ist jetzt allerdings deutlich aggressiver.
ETC_20150317_000192	Geppetto
ETC_20150317_000193	Der Name dieses Monsters passt zu seinem Aussehen, entspricht aber nicht seinem Charakter.
ETC_20150317_000194	Buwuk
ETC_20150317_000195	Die Buwuk gehören zu den vielen Verteidigungssystemen, die Zachariel der Große im königlichen Mausoleum hinterließ.
ETC_20150317_000196	Bärkaras
ETC_20150317_000197	Pino
ETC_20150317_000198	Pino wurde nach Geppetto benannt, weil denjenigen, die es entdeckt haben, die große Ähnlichkeit mit ihm auffiel.
ETC_20150317_000199	Helmkrabbler
ETC_20150317_000200	Monster, die einfach nur größer und aggressiver geworden sind, sind ein erfreulicher Anblick – zumindest im Vergleich mit einigen der anderen Schrecken dieser Welt.
ETC_20150317_000201	Coliblume
ETC_20150317_000202	Obwohl dieses stationäre Monster den Menschen nicht unbedingt feindlich gesinnt ist, greift es dennoch alle Warmblüter an.
ETC_20150317_000203	Coliblumer
ETC_20150317_000204	Vikaras
ETC_20150317_000205	Obwohl er eigentlich erschaffen wurde, um das königliche Mausoleum zu bewachen, greift er inzwischen alles und jeden an, der eintreten möchte.
ETC_20150317_000206	Cockatrice
ETC_20150317_000207	Obwohl der normale Cockatrice eher klein ist, können sein schrecklicher Atem und Blick den Gegner innerhalb von Sekunden versteinern.
ETC_20150317_000208	Grabbeller
ETC_20150317_000209	Zinutekas
ETC_20150317_000210	Zwar werden sie wegen ihres Aussehens oft mit anderen, ähnlichen Monstern verwechselt, doch wurden die Zinutekas mithilfe von Magie künstlich erschaffen.
ETC_20150317_000211	Pokubu
ETC_20150317_000212	Trotz seines Aussehens kann der Pokubu ziemlich angsteinflößend sein.
ETC_20150317_000213	Graupokubu
ETC_20150317_000214	Zinutena
ETC_20150317_000215	Lauzinutena
ETC_20150317_000216	Dandel
ETC_20150317_000217	Noch erschreckender als das weiche Keratinhaar eines Dandels sind seine Vitalität und Aggressivität.
ETC_20150317_000218	Kerzenspinne
ETC_20150317_000219	Blaukerzenspinne
ETC_20150317_000220	Gelbkerzenspinne
ETC_20150317_000221	Todesblume
ETC_20150317_000222	Blautodesblume
ETC_20150317_000223	Grüntodesblume
ETC_20150317_000224	Flügelfrosch
ETC_20150317_000225	Aufgrund seiner Umgebung kann dieses Monster eine Vielzahl von Formen einnehmen. Dieses hier hat zum Beispiel Flügel ausgebildet.
ETC_20150317_000226	Grünflügelfrosch
ETC_20150317_000227	Grauflügelfrosch
ETC_20150317_000228	Leberwurz
ETC_20150317_000229	Leberwurz Vers. 2
ETC_20150317_000230	Blattkäfer
ETC_20150317_000231	Lass dich nicht von ihrem Äußeren täuschen, diese Kreaturen sind nicht hohl.
ETC_20150317_000232	Katakomben-Blattkäfer
ETC_20150317_000233	Königsleberwurz
ETC_20150317_000234	Bedauernswerter Leberwurz
ETC_20150317_000235	Salamion
ETC_20150317_000236	Salindi
ETC_20150317_000237	Salun
ETC_20150317_000238	Grabgolem
ETC_20150317_000239	Obwohl er in guter Absicht erschaffen wurde, ist dieser Golem jetzt von böser Energie besessen.
ETC_20150317_000240	Drache
ETC_20150317_000241	Ein niederer Dämon, der von seinen dämonischen Obersten beschworen wurde, Türme einzunehmen.
ETC_20150317_000242	Gründrache
ETC_20150317_000243	Von diesen niederen Dämonen gibt es unzählige verschiedene Arten.
ETC_20150317_000244	Schwarzdrache
ETC_20150317_000245	Diese Art war früher ziemlich selten, aber in letzter Zeit gibt es deutlich mehr davon.
ETC_20150317_000246	Großcockatrice
ETC_20150317_000247	Der Großcockatrice ist sehr gefährlich, da er mit seinem Blick und seinem Atem jeden Gegner versteinern kann. Du solltest dir gut überlegen, ob du ihn angreifst.
ETC_20150317_000248	Grüncockat
ETC_20150317_000249	Rotcockat
ETC_20150317_000250	Sequoia
ETC_20150317_000251	Blausequoia
ETC_20150317_000252	Korrumpus
ETC_20150317_000253	Blaukorrumpus
ETC_20150317_000254	Beutelwurm
ETC_20150317_000255	Die Zahl der Beutelwürmer nimmt nicht mehr zu, aber sie sind inzwischen so zahlreich vertreten, dass wir uns keine Sorgen mehr um ihr Aussterben machen müssen.
ETC_20150317_000256	Beutelwurm
ETC_20150317_000257	Sequoia-Flamme
ETC_20150317_000258	Sie verschwindet nach und nach, wenn du dich zu lange von ihr fernhältst.
ETC_20150317_000259	Alter Haken
ETC_20150317_000260	Er hat seinen Haken in ein großes Monster geschlagen, um aus der Dämonenwelt zu entkommen, und sich seitdem deutlich verändert.
ETC_20150317_000261	Stumpenbaum
ETC_20150317_000262	Obwohl weniger Bäume gefällt werden, tauchen die Monster, die den gefällten Stämmen entspringen, weiterhin auf. Sie scheinen aus den Überresten von Pflanzenmonstern gebildet zu werden.
ETC_20150317_000263	Katakomben-Grabgolem
ETC_20150317_000264	Wurzelmaulwurf
ETC_20150317_000265	Poiming
ETC_20150317_000266	Wurzel des Wurzelmaulwurfs
ETC_20150317_000267	Mirtis' Auge
ETC_20150317_000268	Auge der großen Mirtis
ETC_20150317_000269	Stein
ETC_20150317_000270	Vubbe-Vernichtungsbombe
ETC_20150317_000271	Zeitbombe (Punktzahl: nur Dungeon)
ETC_20150317_000272	Zeitbombe
ETC_20150317_000273	OBB Stein
ETC_20150317_000274	Zauberkundiger (Mann)
ETC_20150317_000275	Zauberkundige (Frau)
ETC_20150317_000276	Beschädigtes Siegel
ETC_20150317_000277	Symbol von Sünde
ETC_20150317_000278	(Provisorisch) Gefängniskontrollgerät
ETC_20150317_000279	Zusammengebrochene Wache
ETC_20150317_000280	Söldner
ETC_20150317_000281	Geist-Soldat
ETC_20150317_000282	Verwüster
ETC_20150317_000283	Irrer Soldat
ETC_20150317_000284	Gebundener Kämpfer
ETC_20150317_000285	Söldner-Offizier
ETC_20150317_000286	Condottiere
ETC_20150317_000287	Schild-Söldner
ETC_20150317_000288	Geisterharnisch
ETC_20150317_000289	Großer Geisterharnisch
ETC_20150317_000290	Geistanhänger
ETC_20150317_000291	Geistjunge
ETC_20150317_000292	Geistmadam
ETC_20150317_000293	Geistonkel
ETC_20150317_000294	Anführer der Geistanhänger
ETC_20150317_000295	Geistanhänger (Alter Ego)
ETC_20150317_000296	Dreiäugiges Horn
ETC_20150317_000297	Dreiäugiger Flügel
ETC_20150317_000298	Anhänger
ETC_20150317_000299	Schwere Infanterie-Zombie
ETC_20150317_000300	Magisches Buch
ETC_20150317_000301	Unreifer Kürbis
ETC_20150317_000302	Schönfärbzwiebel
ETC_20150317_000303	Große HP-Zwiebel
ETC_20150317_000304	Bernsteinziel
ETC_20150317_000305	Pfahlpalisaden
ETC_20150317_000306	Abwehrwächter
ETC_20150317_000307	Babauzi
ETC_20150317_000308	Nachi-Zombie
ETC_20150317_000309	Zombie-Berserker
ETC_20150317_000310	Kerzenzombie
ETC_20150317_000311	Zombieschütze
ETC_20150317_000312	Rollstuhlzombie
ETC_20150317_000313	Großvubbe-Bogenschütze
ETC_20150317_000314	Desmodus
ETC_20150317_000315	Es wird behauptet, dass man ein Dämon sein muss, um diesen Boten zu benutzen.
ETC_20150317_000316	Schatzvubbe
ETC_20150317_000317	Vubbe-Dieb
ETC_20150317_000318	Die häufigste Vubbe-Art.
ETC_20150317_000319	Rotvubbe-Schächer
ETC_20150317_000320	Im Laufe der Zeit sind die Vubbes vielfältiger geworden und man kann sie leichter voneinander unterscheiden.
ETC_20150317_000321	Blauvubbe-Dieb
ETC_20150317_000322	Vubbe-Bergarbeiter
ETC_20150317_000323	Es ist schwer zu sagen, ob sie ständig als Bergleute tätig sind, denn wir wissen nur wenig über den Aufbau der Vubbe-Gesellschaft.
ETC_20150317_000324	Rotvubbe-Bergarbeiter
ETC_20150317_000325	Blauvubbe-Bergarbeiter
ETC_20150317_000326	Großvubbe-Bergarbeiter
ETC_20150317_000327	Vubbe-Bogenschütze
ETC_20150317_000328	Vubbe-Bogenschützen sind spezialisiert auf Waffen mit großer Reichweite. Obwohl einige behaupten, dass die Vubbes spezielle Rollen einnehmen.
ETC_20150317_000329	Rotvubbe-Bogenschütze
ETC_20150317_000330	Es ist möglich, die Pfeile und Bogen einzusammeln, die die Vubbes hergestellt haben.
ETC_20150317_000331	Habachter
ETC_20150317_000332	Auge
ETC_20150317_000333	Knastwache
ETC_20150317_000334	Paladinanhänger A1
ETC_20150317_000335	Paladinanhänger A2
ETC_20150317_000336	Paladinanhänger A3
ETC_20150317_000337	Explosionsmine
ETC_20150317_000338	Giftmine
ETC_20150317_000339	Antipersonenmine
ETC_20150317_000340	Höllenmine
ETC_20150317_000341	Dorfbewohner
ETC_20150317_000342	Babyengelstatue
ETC_20150317_000343	Hallenstatue
ETC_20150317_000344	Hidden Trigger Monster Type
ETC_20150317_000345	Owl Sculpture
ETC_20150317_000346	Durchsichtiges Objekt
ETC_20150317_000347	Feuerball
ETC_20150317_000348	Großer bewaffneter Schildkrötenpanzer
ETC_20150317_000349	Bewaffneter Schildkrötenpanzer
ETC_20150317_000350	Renegat (3D)
ETC_20150317_000351	Renegatin (3D)
ETC_20150317_000352	Änderung
ETC_20150317_000353	Abscheulichkeit
ETC_20150317_000354	Großvubbe-Kämpfer
ETC_20150317_000355	Monster-Zauberkundiger
ETC_20150317_000356	Batterie (provisorisch)
ETC_20150317_000357	Eisblock
ETC_20150317_000358	Eissäule
ETC_20150317_000359	Lagerfeuer
ETC_20150317_000360	Bergwerk
ETC_20150317_000361	Langschild
ETC_20150317_000362	Gefrierschild
ETC_20150317_000363	Würfel
ETC_20150317_000364	Katapult
ETC_20150317_000365	Schmetterlingsdickicht
ETC_20150317_000366	Dornichtbusch
ETC_20150317_000367	Übungsschwert
ETC_20150317_000368	Köder
ETC_20150317_000369	Zielobjekt
ETC_20150317_000370	Langastbaum
ETC_20150317_000371	Ein Strauchmonster, das angreift, indem es entweder seine Zweige abfeuert oder mit seinen Ästen zuschlägt.
ETC_20150317_000372	Rocktor
ETC_20150317_000373	Venuzelos
ETC_20150317_000374	Es heißt, dieser Wachhund sei eine Kreation, die Zachariel der Große bewahren wollte.
ETC_20150317_000375	Grabgolem
ETC_20150317_000376	Kepa-Häuptling
ETC_20150317_000377	Poata
ETC_20150317_000378	Totgeborener
ETC_20150317_000379	Salamander
ETC_20150317_000380	Frostmahr
ETC_20150317_000381	Ginklas
ETC_20150317_000382	Steinwal
ETC_20150317_000383	Tutu
ETC_20150317_000384	Yonazolem
ETC_20150317_000385	Meister-Genius
ETC_20150317_000386	Beißerkönigin
ETC_20150317_000387	Iltiswurz
ETC_20150317_000388	Riesen-Rotholzkobold
ETC_20150317_000389	Lepus
ETC_20150317_000390	Muschkaria
ETC_20150317_000391	Käfer
ETC_20150317_000392	Gaigalas
ETC_20150317_000393	Thronweber
ETC_20150317_000394	Bebraspion
ETC_20150317_000395	Sumpfmatschwurz
ETC_20150317_000396	Sparnas
ETC_20150317_000397	Energiemine
ETC_20150317_000398	Rajakröte
ETC_20150317_000399	Schattenstürmer
ETC_20150317_000400	Helgazerkel
ETC_20150317_000401	Nekroventer
ETC_20150317_000402	Zappellutopus
ETC_20150317_000403	Linkroller
ETC_20150317_000404	Rocktortuga
ETC_20150317_000405	Yekub
ETC_20150317_000406	Giftiger Ritaswurz
ETC_20150317_000407	Gießläufer
ETC_20150317_000408	Dämonenrind
ETC_20150317_000409	Wilde Karnivore
ETC_20150317_000410	Grabfürst
ETC_20150317_000411	Achat
ETC_20150317_000412	Sargwächter
ETC_20150317_000413	Honigstachel
ETC_20150317_000414	Rajaperl
ETC_20150317_000415	Zyklop
ETC_20150317_000416	Archon
ETC_20150317_000417	Karapas
ETC_20150317_000418	Werwolf
ETC_20150317_000419	Tini
ETC_20150317_000420	Wegen des niedlichen Aussehens hat schon manch einer versucht, Tinis Herz zu gewinnen, bisher ist es aber noch niemandem gelungen.
ETC_20150317_000421	Wandelbaum
ETC_20150317_000422	Der Wandelbaum unterscheidet sich von den typischen Monstern aus der Dämonenwelt, da es sich bei ihm nicht um eine Missbildung zwischen Kreaturen und Objekten handelt.
ETC_20150317_000423	Golemlet
ETC_20150317_000424	Vubbesqua
ETC_20150317_000425	Spino
ETC_20150317_000426	Es ist gut ausgebildet und folgt jedem Befehl seines Besitzers. Unglücklicherweise ist sein Besitzer in der Regel ein Dämon.
ETC_20150317_000427	Mirtislampa
ETC_20150317_000428	Spekullo
ETC_20150317_000429	Skap
ETC_20150317_000430	Fetzer
ETC_20150317_000431	Fetzer ist ein Dämonenmonster, das aus dem Nebenprodukt der Verwandlung eines Monsters in einen mächtigen Geist entstanden ist.
ETC_20150317_000432	Yekubiss
ETC_20150317_000433	Yekub entfesselt seinen berüchtigten Schrei in der Dämonenwelt. Er bringt viele Knechte hervor, die sich dann in der ganzen Welt verbreiten. Einen solchen Knecht nennt man Yekubiss.
ETC_20150317_000434	Scherbenstatue
ETC_20150317_000435	Ein besessener Dämon, den nur die Göttinnenstatuen interessieren.
ETC_20150317_000436	Totgeborener Skap
ETC_20150317_000437	Kire
ETC_20150317_000438	Dieses Monster scheint sich nicht aus den typischen Pflanzen zu entwickeln, sondern aus verrottender Flora. Es gibt jedoch keinerlei Beweise, die diese These stützen.
ETC_20150317_000439	Ritasfang
ETC_20150317_000440	Tisfang
ETC_20150317_000441	Pappfang
ETC_20150317_000442	Baumghul
ETC_20150317_000443	Nachdem der Baumghul sich in ein Monster mit einem gehärteten Holzkörper und ohne Blätter verwandelt hat, ernährt er sich nicht mehr durch Photosynthese, sondern geht auf die Jagd.
ETC_20150317_000444	Zyste
ETC_20150317_000445	Ammon
ETC_20150317_000446	Ammon gibt es schon seit Urzeiten und ihm sind unzählige Menschen und Monster zum Opfer gefallen.
ETC_20150317_000447	Operor
ETC_20150317_000448	Seine ursprüngliche Form hat der Operor zwar beibehalten, er ist aber sehr aggressiv und gewalttätig geworden.
ETC_20150317_000449	Käferbiene
ETC_20150317_000450	Ein stark mutierter Hybrid zwischen Biene und Käfer mit Eigenschaften von beiden. Tritt normalerweise im Schwärmen auf.
ETC_20150317_000451	Schluchtenlarve
ETC_20150317_000452	Bevor sich herausstellte, dass es eine mutierte Pflanze ist, hielt man dieses Wesen für die Larve eines Monsters.
ETC_20150317_000453	Höllenkalb
ETC_20150317_000454	Infrogalas
ETC_20150317_000455	Karnivorenbrecher
ETC_20150317_000456	Glattnase
ETC_20150317_000457	Die Tiere, die im königlichen Mausoleum leben, wurden in den letzten Jahren durch den Einfluss böser Energien deformiert.
ETC_20150317_000458	Karas
ETC_20150317_000459	Ein magisches Wesen, dessen Name von den Wünschen einer Golem-Art abstammt.
ETC_20150317_000460	Echad
ETC_20150317_000461	Eine magische Kreatur, die erschaffen wurde, um das königliche Mausoleum zu schützen. Obwohl sie eher schwach ist, kann sie dennoch den Kräften der Göttin widerstehen.
ETC_20150317_000462	Schtaim
ETC_20150317_000463	Trotz seines Aussehens hat diese magische Kreatur den Segen der Göttin erhalten. Kann Dämonen kritischen Schaden zufügen.
ETC_20150317_000464	Grabsinker
ETC_20150317_000465	Viele Kreaturen, darunter auch der Grabsinker, wurden in das königliche Mausoleum gebracht, um es vor eindringenden Dämonen zu schützen.
ETC_20150317_000466	Grazbohrer
ETC_20150317_000467	Abogust
ETC_20150317_000468	Weber
ETC_20150317_000469	Es gibt Gerüchte, dass der Weber nach einem Faden sucht, der aus Stein gesponnen ist.
ETC_20150317_000470	Finsterling
ETC_20150317_000471	Bitte schau ihnen nicht unter die Kapuze.
ETC_20150317_000472	Megel
ETC_20150317_000473	Sie sind kräftig und giftig und ihre Fähigkeit, Blut zu saugen, ist wahrhaft einzigartig.
ETC_20150317_000474	Infrosalamander
ETC_20150317_000475	Zolem
ETC_20150317_000476	Im Gegensatz zu traditionellen Golems bewegen sich Zolem nicht mithilfe von Magie, sondern mithilfe einer mysteriösen Aura.
ETC_20150317_000477	Kepa-Räuber
ETC_20150317_000478	Obwohl er als Kepa bezeichnet wird, stammt dieser Räuber eigentlich aus der Dämonenwelt.
ETC_20150317_000479	Aggropilz
ETC_20150317_000480	Holzkobold
ETC_20150317_000481	Ein böser Kobold, der von den Vubbes beschworen wurde. Er tritt manchmal sogar in Gebieten auf, in denen Vubbes nicht zu finden sind.
ETC_20150317_000482	Rotholzkobold
