QUEST_20150317_000795	Feigling
QUEST_20150317_001307	Dämonenverseuchter Wald
QUEST_20150317_001308	Seelenjäger
QUEST_20150317_001309	Hitzebarriere
QUEST_20150317_001311	Prüfung des Bildhauers
QUEST_20150317_001312	Das Gefäß des Wächters
QUEST_20150317_001313	Feuer entfachen
QUEST_20150317_001314	Das Feuer entfachen
QUEST_20150317_001315	Entfesselung der Magie
QUEST_20150317_001316	Versteckter Ort
QUEST_20150317_001317	Notfall
QUEST_20150317_001318	Verderbte Steinlaterne
QUEST_20150317_001319	Reiß dich zusammen!
QUEST_20150317_001320	Alte Geschichte
QUEST_20150317_001321	Verdächtiger Kräuterkundiger
QUEST_20150317_001322	Ein großartiger Soldat sein
QUEST_20150317_001323	Freunde auf ewig
QUEST_20150317_001324	Kirchenpforte
QUEST_20150317_001325	Der legendäre Trick
QUEST_20150317_001326	Lichtangriff
QUEST_20150317_001327	Verstecktes Heiligtum
QUEST_20150317_001328	Vorhergesagte Krise
QUEST_20150317_001329	Schatzjagd
QUEST_20150317_001330	Vermisste Forschungsgruppe
QUEST_20150317_001331	Historiker Rexiphers Forschung 
QUEST_20150317_001332	Trick des Dämons
QUEST_20150317_001333	Der Fälscher
QUEST_20150317_001334	Rexiphers wahres Gesicht
QUEST_20150317_001335	Selbstversorgung
QUEST_20150317_001336	Das Erbe beschützen
QUEST_20150317_001337	Der unsterbliche Nepenthes
QUEST_20150317_001338	Das Potenzial des Bewachers
QUEST_20150317_001339	Verhandlung
QUEST_20150317_001340	Schwert und Schild des Volkes
QUEST_20150317_001341	Das lästige geflügelte Untier
QUEST_20150317_001342	Erster Pfeil
QUEST_20150317_001343	Astraler Abrieb
QUEST_20150317_001344	Schlussmission
QUEST_20150317_001345	Vorhersage des Versteinernden Frostes
QUEST_20150317_001346	Notlüge
QUEST_20150317_001347	Ab ins Gefängnis
QUEST_20150317_001348	Reiniger
QUEST_20150317_001349	Großes Fluchtportal
QUEST_20150317_001350	Alles gleich
QUEST_20150317_001351	Kleiner Unterschied
QUEST_20150317_001352	Schrecklicher Unfall
QUEST_20150317_001353	Magische Meinung
QUEST_20150317_001354	Angeln an Land
QUEST_20150317_001355	Begeistert lernen
QUEST_20150317_001356	Das liegt am Honig
QUEST_20150317_001357	Freundschaft zweier Freunde
QUEST_20150317_001358	Ziel des Dreibachmonsters
QUEST_20150317_001359	Dreibachaltar
QUEST_20150317_001360	Geheimnis des Ackerlandes
QUEST_20150317_001361	Land, das die Macht der Göttin geschenkt hat
QUEST_20150317_001362	Hand der Vogelscheuche
QUEST_20150317_001363	Zerstörter Siegelturm
QUEST_20150317_001364	Kleiner Magus Owyn
QUEST_20150317_001365	Beweise für Benommenheit
QUEST_20150317_001366	Versiegelte Seele
QUEST_20150317_001367	Verdächtiger Topf
QUEST_20150317_001368	Welche Art von Sünde
QUEST_20150317_001369	Verdächtige Kiste
QUEST_20150317_001370	Zu viele Siegel
QUEST_20150317_001371	Variationsmagierin Pelzsam
QUEST_20150317_001372	Hitzköpfiger Simon Scholl
QUEST_20150317_001373	Die Wahrheit über den verdächtigen Siegelstein
QUEST_20150317_001374	Fantasie des Bewachers
QUEST_20150317_001375	Unruhige Totems
QUEST_20150317_001376	Läuterungspuppe
QUEST_20150317_001377	Weg des Heilers
QUEST_20150317_001378	Immerwährende Anbetung
QUEST_20150317_001379	Überlebende Erinnerungen
QUEST_20150317_001380	Kontrolle der Göttinnenstatue
QUEST_20150317_001381	Freundlichkeit bei den Opfergaben
QUEST_20150317_001382	Göttin Saule befreien
QUEST_20150317_001383	Der Zauberkundige und der Magierturm
QUEST_20150317_001384	Sesam öffne dich
QUEST_20150317_001385	Gefallen für die Wache
QUEST_20150317_001386	Bedrohliche Bruchlinie
QUEST_20150317_001387	Unersättlicher Hunger
QUEST_20150317_001388	Endlose Fressgier
QUEST_20150317_001389	Kann nicht weggenommen werden
QUEST_20150317_001390	Essensvorräte des Wegs der hungernden Dämonen
QUEST_20150317_001391	Test zur Freilassung der wütenden Seele
QUEST_20150317_001392	Anbetung für Segen
QUEST_20150317_001393	Echte Göttinnenstatue
QUEST_20150317_001394	Heiligtum der Wahrheit oder Lüge
QUEST_20150317_001395	Segen durch Geld
QUEST_20150317_001396	Verliebtheit vermeiden
QUEST_20150317_001397	Reinigung des Teiches, Wiederherstellung des Baumes
QUEST_20150317_001398	Durch den Raum reisen
QUEST_20150317_001399	Exzentrische Statue
QUEST_20150317_001400	Gespensterversammlung auflösen
QUEST_20150317_001401	Geheimnisvolle Steinplatte
QUEST_20150317_001402	Buschball von Siulamm
QUEST_20150317_001403	Bildhauerin Hildas Daten
QUEST_20150317_001404	Vermächtnis der königlichen Familie
QUEST_20150317_001405	Epitaph von Hekti
QUEST_20150317_001406	Des Bischofs Traum von der Göttin
QUEST_20150317_001407	Moses' wahre Gefühle
QUEST_20150317_001408	Spiel mit dem Feuer
QUEST_20150317_001409	Gift mit Gift bekämpfen
QUEST_20150317_001410	Im Namen des Glaubens
QUEST_20150317_001411	Dornicht einfangen
QUEST_20150317_001412	Den Obelisken aktivieren
QUEST_20150317_001413	Gefallen für den Dorfpriester von Andale
QUEST_20150317_001414	Die Mattkrautbombe erstellen
QUEST_20150317_001415	Ein Gefäß für einen Geist
QUEST_20150317_001416	Barmherzigkeit und Erlösung
QUEST_20150317_001417	Die Forschung des Priesters
QUEST_20150317_001418	Die harte Arbeit des Priesters
QUEST_20150317_001419	Leb wohl, mein Freund
QUEST_20150317_001420	Anpassung an die Gegebenheiten
QUEST_20150317_001421	Die letzte Mission des Bischofs
QUEST_20150317_001422	Forschungsmaterialien
QUEST_20150317_001423	Gefallen für die Apothekerin
QUEST_20150323_001460	Etwas Trübes lauert in der Nähe …
QUEST_20150323_001461	Etwas zuvor Unsichtbares erscheint …
QUEST_20150323_001462	Zurückgelassener Brief
QUEST_20150323_001691	Das Bergbaudorf untersuchen
QUEST_20150323_001692	Die Katastrophe der Saknis-Ebene
QUEST_20150323_001693	Vilna-Wald: Der Zweck der Monster
QUEST_20150323_001694	Altar des Vilna-Waldes
QUEST_20150323_001695	Bedrohung im Poslinkis-Wald
QUEST_20150323_001696	Nahrungsmittelstapel am Weg der hungernden Dämonen
QUEST_20150323_001697	Für die Pilger
QUEST_20150323_001698	Die Wahre Natur des Fluches
QUEST_20150323_001699	Deponiearbeiten
QUEST_20150323_001700	Ein hartes Leben
QUEST_20150323_001701	Die Notwendigkeit des nahrhaften Tonikums
QUEST_20150323_001702	Ich möchte normales Essen essen
QUEST_20150323_001703	Es weitergeben
QUEST_20150323_001704	Reinigung der seltsamen Aura
QUEST_20150323_001705	Energierückgewinnung
QUEST_20150323_001706	Positiver Beweis
QUEST_20150323_001707	Waffenversorgung
QUEST_20150323_001708	Nahrungsreserve
QUEST_20150323_001709	Zerfall
QUEST_20150323_001710	Wild gewordenes Monster
QUEST_20150323_001711	Der verdächtige Dolch
QUEST_20150323_001712	Monster, das auf militärische Güter aus ist
QUEST_20150323_001713	Louis' Ackerland
QUEST_20150323_001714	Unbefriedigende Feldfrüchte
QUEST_20150323_001715	Alte Samen
QUEST_20150323_001716	Shatons Sturheit
QUEST_20150401_001768	Wiederherstellung der Segen
QUEST_20150406_001800	Der vergessene magische Kreis
QUEST_20150511_002033	Das ewige Abenteuer
QUEST_20150908_002402	Gewinnung des Holzes
QUEST_20151001_002702	Glänzendes Moos einsammeln
QUEST_20151001_002703	Glänzendes Moos erhalten!
QUEST_20151001_002704	Kein Moos gefunden!
QUEST_20151001_002705	Nachi-Pilz erhalten!
QUEST_20151016_002796	Glänzendes Moos sammeln
QUEST_20151016_002797	Blut ausgießen
QUEST_20151016_002798	Das Farnkraut verfault.
QUEST_20151022_002905	Farnkraut sammeln
QUEST_20151022_002906	Farnkraut erhalten!
QUEST_20151022_002907	Kraut erhalten!
QUEST_20151022_002908	Verbrenne die mit Farn gefüllte Kiste.
QUEST_20151022_002909	Die mit Farn gefüllte Kiste wurde verbrannt.
QUEST_20151102_003023	Nach Relikten suchen
QUEST_20151102_003024	Relikte gefunden.
QUEST_20151224_003590	Holz erhalten!
QUEST_20151224_003591	Pilz erhalten!
QUEST_20151224_003592	Du hast die Kräuter gefunden, die von Dämonen geerntet werden!
QUEST_20151224_003593	Ronjia-Gras sammeln
QUEST_20151224_003594	Du hast Ronjia-Gras gesammelt.
QUEST_20151224_003595	Die mit Giftkräutern gefüllte Kiste verbrennen
QUEST_20151224_003596	Du hast die Kiste mit Giftkräutern erfolgreich verbrannt!
QUEST_20151224_003597	Relikt einsammeln
QUEST_20151224_003598	Du hast das Relikt eines Experimentopfers eingesammelt.
QUEST_20160329_003880	Gründliche Vorbereitungen
QUEST_20160329_003881	Ich wünsche dir viel Glück.
QUEST_20160329_003882	Hartnäckig
QUEST_20160329_003883	Ich werde versuchen zu helfen.
QUEST_20160329_003884	Lass uns an einem sicheren Ort gehen.
QUEST_20160329_003885	Nach und nach ein Geschichtsbuch
QUEST_20160329_003886	Neugierde am Ende der Klippe
QUEST_20160329_003887	Ich glaube nicht, dass ich dir helfen kann.
QUEST_20160329_003888	Starke Überzeugungen
QUEST_20160329_003889	Versuche dein Bestes
QUEST_20160329_003890	Lass uns eine Weile warten.
QUEST_20160329_003891	Gefallene Tage
QUEST_20160329_003892	Ich werde dafür sorgen, dass es sicher ist.
QUEST_20160329_003893	Ich denke, du solltest dich besser verstecken.
QUEST_20160329_003894	Allheilmittel-Arznei
QUEST_20160329_003895	Geistertragendes Monster
QUEST_20160329_003896	Verblassender Geist
QUEST_20160329_003897	Gegengiftprobe sammeln
QUEST_20160718_004052	Zaubersteine sammeln
QUEST_20160718_004053	Zauberstein erhalten
QUEST_20160718_004054	Siklen-Kräuter sammeln
QUEST_20160718_004055	Siklen-Kräuter gesammelt.
QUEST_20160718_004056	Die Siklen-Kräuter sind verwelkt.
QUEST_20160718_004057	Heilige Objekte sammeln
QUEST_20160718_004058	Göttliche Rüstung erhalten.
QUEST_20160718_004059	Die Göttliche Rüstung ist zu Staub zerfallen.
QUEST_20160718_004060	Feuerholz sammeln
QUEST_20160718_004061	Schwarze Steine sammeln
QUEST_20160718_004062	Schwarzen Stein erhalten
QUEST_20160718_004063	Wilde Ingwerpflanzen sammeln
QUEST_20160718_004064	Wilde Ingwerpflanzen erhalten
QUEST_20160718_004065	Schwarze Steine sammeln
QUEST_20161005_004964	Arcusfarn sammeln
QUEST_20161005_004965	Arcusfarn gesammelt
QUEST_20161005_004966	Vinkblüten sammeln
QUEST_20161005_004967	Vinkblüten gesammelt
QUEST_20161005_004968	Tulpen sammeln
QUEST_20161005_004969	Du hast eine Tulpe gesammelt.
QUEST_20161005_004970	Phamerfarn sammeln
QUEST_20161005_004971	Du hast Phamerfarn gesammelt.
QUEST_20161005_004972	Phamerfarn suchen
QUEST_20161005_004973	Du hast Phamerfarnsprossen gesammelt.
QUEST_20161005_004974	Du hast ausgewachsenen Phamerfarn gesammelt.
QUEST_20161005_004975	Hier scheint es keinen Phamerfarn zu geben.
QUEST_20161005_004976	Aily sammeln
QUEST_20161005_004977	Du hast ein Denkmalfragment erhalten.
QUEST_20161005_004978	Mittelly-Kräuter einsammeln
QUEST_20161005_004979	Du hast Mittelly-Kräuter gesammelt.
QUEST_20161005_004980	Kann nicht für Arzneien verwendet werden.
QUEST_20161005_004981	Nach Kokons suchen
QUEST_20161005_004982	Du hast den Kokon einer Weißbaumwald-Motte erhalten.
QUEST_20161005_004983	Du hast keine Kokons.
QUEST_20161005_004984	Nach verwendbarem Holz suchen
QUEST_20161005_004985	Du hast Holz erhalten.
QUEST_20161005_004986	Das ist wohl nicht als Holz verwendbar.
QUEST_20171128_007088	Sporgimoblume sammeln
QUEST_20171128_007089	Sporgimoblume erhalten
QUEST_20171128_007090	Zauberkristall sammeln
QUEST_20171128_007091	Zauberkristall erhalten
QUEST_20171128_007092	Hektis Geräteteile zurückholen
QUEST_20171128_007093	Hektis Geräteteile erhalten
QUEST_20171207_007106	Campsite Manager	캠프 주인				
QUEST_20171207_007107	It's getting dark.{nl}The mountain's too dangerous at night.	날이 어두워집니다.{nl}밤에 산에 있는 것은 위험합니다.				캠프 주인
QUEST_20171207_007108	The Xmas Search Mission event has begun.	깊은 산속의 선물 상자 이벤트가 진행 중입니다.				이벤트 알림판
QUEST_20171207_007109	The Here Comes... Santa? event has begun.	착한 거짓말 이벤트가 진행 중입니다.				이벤트 알림판
QUEST_20171207_007110	It's either too soon or you haven't delivered the last Present yet.	너무 이르거나 아직 선물을 건네주지 않았습니다.				이벤트 알림판
QUEST_20171207_007111	This event is for characters of level 50 and above.	크리스마스 이벤트는 50레벨부터 참여 가능합니다.				이벤트 알림판
QUEST_20171207_007112	Please receive a Present first.	먼저 어린이용 선물 상자를 받아주세요.				이벤트 알림판
QUEST_20171207_007113	Total count rewards{nl}10 Presents delivered: Silver Anvil (14 Days) x2{nl}20 Presents delivered: Golden Anvil (14 Days) x2	누적 참여 보상{nl}10회 달성 시 : 은빛 모루(14일) 2개{nl}20회 달성 시 : 황금 모루(14일) 2개				이벤트 알림판
QUEST_20171207_007114	Good Kid	착한 일 한 어린이				
QUEST_20171207_007115	Hello!!{nl}Who are you? Oh, are you Santa??{nl}Yaaaay!!	드디어...!!!!{nl}누구시죠? 산타클로스인가요?{nl}거짓말 아니죠? 와~신난다!!				착한 일 한 어린이
QUEST_20171207_007116	I was so good this year! I wonder when Santa's gonna come...	착한 일 많이 했는데 산타는 언제 오는 걸까요?				착한 일 한 어린이
QUEST_20171207_007117	Thank you!! I'll be good next year, too!	감사합니다!! 내일도 착한 일 할 거예요~~				착한 일 한 어린이
QUEST_20171211_007130	Your Team Level is 2 or above, or you are participating in the Skilled Savior Event.	팀 레벨이 1보다 높거나 정착 이벤트 참여자입니다.				이벤트 알림판
QUEST_20171211_007131	Use your Homecoming Gift first to prove that you are a Returning Savior.	먼저 복귀 유저의 선물 상자를 사용해서 복귀 유저를 증명해주세요.				이벤트 알림판
QUEST_20171211_007132	Your Team Level is 1 or you are participating in the Rookie Savior Event.	팀 레벨이 1이거나 초보 유저의 이벤트 참여자입니다.				이벤트 알림판
QUEST_20171211_007133	Move to a city of your choice and increase movement speed for 20 seconds.	원하는 마을로 이동할 수 있으며 20초 동안 이동속도가 증가합니다.				오늘의 티켓
QUEST_20180108_007140	Select one item to receive.	가지고 싶은 아이템을 선택하세요.				이벤트 알림판
QUEST_20180108_007141	Your team level is too low.	팀 레벨이 부족합니다.				이벤트 알림판
QUEST_20180108_007142	Event item received.	이벤트 아이템이 지급되었습니다.				이벤트 알림판
QUEST_20180108_007143	This prize can only be received on Saturdays and Sundays (server time).	아이템은 토요일, 일요일에만 받을 수 있습니다.				이벤트 알림판
QUEST_20180122_007144	Then I heard there was a Tetriox roaming around Fedimian, so I came thinking I could get rid of it and teach the soldiers some of my techniques, maybe look for an assistant here.	{nl}페디미안 근처에 테트리옥스가 출몰한다는 소문이 들렸지.{nl}그래서 마수를 처치할 겸 병사들에게 내 기술을 알려줘서 조수를 구할겸 해서 여길 왔지.	QUEST_20171128_006500	Then I heard there was a Tetriox roaming around Fedimian, so I came thinking I could get rid of it and teach the soldiers some of my techniques, maybe look for an assistance here.	{nl}마침 페디미안 근처에 테트리옥스가 출몰한다는 소문이 들렸어.{nl}그래서 마수를 처치할 겸 병사들에게 내 기술을 알려줘서 조수를 구할겸 해서 여길 왔지.	마타도르 마스터
QUEST_20180122_007145	I need some tools to teach the soldiers with so I ordered some things from a few merchants, but the orders are taking a while.	그렇지만 병사들을 훈련시킬 장비들이 필요해 상인들에게 장비 제작 요청을 했지만, 아직 오지 않고 있어.	QUEST_20171128_006502	I still need some tools to train the soldiers with, though.	그렇지만 병사들을 훈련시킬 장비들이 필요해.	마타도르 마스터
QUEST_20180122_007146	Finally, Rima in Klaipeda is making the cape we need to lure the beast.	마수를 흥분시킬 때 사용할 망토는 클라페다에 있는 리마에게 부탁했어.	QUEST_20171128_006506	Finally, the merchant in Klaipeda is making the cape we need to lure the beast.	마수를 흥분시킬 때 사용할 망토는 클라페다에 있는 상인에게 부탁했어.	마타도르 마스터
QUEST_20180122_007147	Not only that, for the kind that she wants I need actual Blue Hohen Gulak horns from Kadumel Cliff.	심지어 마스터님이 요청한 걸 만드려면 카듀멜 절벽에 있는 푸른 호헨 굴락을 처치해야만 얻을 수 있는 뿔이 필요해요.	QUEST_20171128_006509	Not only that, for the kind that she wants I need actual Blue Hohen Gulak horns.{nl}It's almost impossible to find a whole Blue Hohen Gulak horn these days.{nl}I don't know I'm supposed to finish this.	심지어 마스터님이 요청한 것을 만들기 위해선 온전한 푸른 호헨 굴락의 뿔이 필요해요.{nl}그런데 요즘 세상에 어느 누가 온전한 마족의 뿔을 구할 수 있겠어요?{nl}이건 말도 안되는 요청이죠.	악세서리 상인 요아나
QUEST_20180122_007148	In pristine condition, too.	그것도 온전한 상태의 뿔이여만 하죠.				악세서리 상인 요아나
QUEST_20180122_007149	It's almost impossible to find a whole Blue Hohen Gulak horn these days.{nl}I don't know I'm supposed to finish this.	그런데 요즘 세상에 어느 누가 온전한 마족의 뿔을 구하러  있겠어요?{nl}이건 말도 안되는 요청이죠.				악세서리 상인 요아나
QUEST_20180122_007150	So you're here to check on the weapons I'm making for the Matador Master.{nl}Well... to make the weapons I need an ore that only exists in Nevellet Quarry.{nl}But going there is way more dangerous than I would like.	마타도르 마스터가 요청한 무기들은 어떻게 됐는지 확인하러 오신거군요.{nl}휴... 그분이 원하는 만큼의 무기를 만드려면 네밸랫 광산에서만 캘 수 있는 광석이 2개나 필요하죠.{nl}하지만 광산에 들어가려면 목숨을 걸고 들어가야 해요.	QUEST_20171128_006514	So you're here to check on the weapons I'm making for the Matador Master.{nl}Well... to make the weapons I need an ore that only exists in Nevellet Quarry.{nl}But going there is way more dangerous than I would like.	마타도르 마스터가 요청한 무기들은 어떻게 됐는지 확인하러 오신거군요.{nl}휴... 무기를 만드려면 네밸랫 광산에서만 캘 수 있는 광석이 필요하죠.{nl}하지만 광산에 들어가려면 목숨을 걸고 들어가야 해요.	대장장이 일라나이
QUEST_20180122_007151	Bring me 10 pieces of Cockatrice Leather in good condition. The monsters are usually around the Fedimian Suburbs.	페디미안 외곽에 자주 출몰하는 코카트리스에게서 상태가 좋은 코카트리스의 가죽을 10개를 구해주세요.	QUEST_20171128_006537	- 50 pieces of good quality Cockatrice leather (from the Cockatrice monsters in Fedimian Suburbs){nl}- 160 sturdy Beetow feelers (from the Beetow monsters in the Klaipeda region). 	상태 좋은 코카트리스의 가죽 50개가 필요한데 주로 페디미안 외곽에 있는 코카트리스들에게서 얻어요.{nl}질긴 비토우 더듬이 160개는 클라페다령에서 서식하는 비토우들의 더듬이가 질겨서 끈으로 사용하기 좋습니다. 	리만타스가 준 메모장
QUEST_20180122_007152	From Veja Ravine, get me 12 sturdy Beetow Feelers.	그리고 베야 골짜기에 서식하고 있는 비토우에게서 질긴 비토우 더듬이 12개가 필요해요.	QUEST_20171128_006538	- 75 pieces of strong Minivern skin (from the Miniverns found inside the Mage Tower).	미니번의 단단한 가죽 75개가 필요한데요. 미니번은 마법사의 탑에서 자주 출몰한다고 하네요.	리만타스가 준 메모장
QUEST_20180122_007153	I also need 15 pieces of strong Minivern Skin, which you can get from the Miniverns in the Mage Tower 4F.	미니번의 단단한 가죽이 15개가 필요한데, 이건 마법사의 탑 4층을 점령하고 있는 미니번을 처치하면 얻을 수 있어요.				리만타스가 준 메모장
QUEST_20180122_007154	Just be careful. You're dealing with monsters, after all.	몬스터를 상대하는 일이니 꼭 조심에 또 조심하세요.				리만타스가 준 메모장
QUEST_20180122_007155	I was just starting to get settled when the Master came and asked me to sew the capes for her.{nl}At first I didn't want to take the order, because I have no way of getting the silk cocoon I need to make the capes.	여기서 자리 잡은지도 얼마 안됐는데 마타도르님께서 오시더니 망토를 만들라고 하시더군요.{nl}망토를 만드려면 주요 재료인 상태가 좋은 고치가 1개 정도는 필요한데 이걸 구할 방법이 없어 일을 받지 않으려고 했죠.	QUEST_20171128_006542	I was just starting to get settled when the Master came and asked me to sow the capes for her.{nl}At first I didn't want to take the order, because I have no way of getting the silk cocoons I need to make the capes.	여기서 자리 잡은지도 얼마 안됐는데 마타도르님께서 오시더니 망토를 만들라고 하시더군요.{nl}하지만 망토를 만드는데 중요한 재료인 상태가 좋은 고치를 구할 방법이 없어 일을 받지 않으려고 했죠.	리마
QUEST_20180122_007156	To get the cocoon I would need to go all the way to the Emmet Forest, but these days it's just too dangerous to go outside.	상태가 좋은 고치를 구하려면 에메트 숲으로 가야하는데 요즘 같은 시기에 밖을 나가는 건 위험천만한 일이에요.	QUEST_20171128_006544	To get the cocoons I would need to go all the way to the Emmet Forest, but these days it's just too dangerous to go outside.	고치를 구하려면 에메트 숲으로 가야하는데 요즘 같은 시기에 밖으로 나가는 건 위험천만한 일이에요.	리마
QUEST_20180122_007157	So I was wondering what to do about this monster.{nl}I noticed a few other monsters with this golden dust falling off of them: some Red Spions and Firents in Salvia Forest and Nefritas Cliff.	그래서 나는 같이 발견한 동료와 함께 이 몬스터를 어떻게 할까 고민하고 있었네.{nl}섹타 숲에서 본 녀석처럼 금 가루를 흘리는 붉은 스피온과 피렌트를 각각 살비야스 숲과 네프리타스 벼랑에서 확인했지.	QUEST_20171128_006564	So I was wondering what to do about this monster.{nl}I noticed a few other monsters with this golden dust falling off of them: some Red Spions and Firents in Salvia Forest and Nefritas Cliff.	그래서 나는 같이 발견한 동료와 함께 이 몬스터를 어떻게 할까 고민하고 있었네.{nl}섹타 숲에서 본 녀석처럼 금 가루를 흘리는 붉은 스피온과 피렌트를 각각 살비아스 숲과 네프리타스 벼랑에서 확인했지.	불릿 마커 마스터
QUEST_20180122_007158	{nl}My suspicious colleague gave all my bullet recipes to Manager Rota, so she's the one who has them now.	{nl}동료는 내가 개발한 냉기 탄, 화염 탄, 전기 탄에 무슨 짓을 할지 모른다며 이 탄들의 제작서을 의뢰소장 로타에게 검수를 맡겨버렸어.	QUEST_20171128_006576	Shoot the Frost Bullets at the Red Spions in Salvia Forest and the Fire Bullets at the Firents in Nefritas Cliff.	살비아스 숲에 붉은 스피온에게는 냉기 탄을, 네프리타스 벼랑에 피렌트에게는 화염 탄을 쏴.	불릿 마커 마스터
QUEST_20180122_007159	You'll have to get the recipes from Manager Rota and make them yourself.	그러니 로타에게 냉기 탄, 화염 탄, 전기 탄 제작서를 받고 탄들을 직접 만들어야 해.	QUEST_20171128_006577	The Lightning Bullets are for the Blue Lepusbunny monsters in Sekta Forest.{nl}They have a strange glow going on under their feet, so you'll know when you see them.{nl}But you gotta make those bullets yourself.	그리고 섹타 숲에 푸른 레푸스버니는 전기 탄을 쏘면 돼.{nl}이들은 전부 발 밑에 광휘가 빛나는 기현상이 있으니 잘 구별될 거네.{nl}그런데 이 탄들은 네가 직접 만들어 해.	불릿 마커 마스터
QUEST_20180122_007160	You'll need a material called Demon Magic Dust for all the bullets.{nl}There are 5 magic aggregators installed at the Shaton Reservoir giving out a reddish light.	이 탄들에는 기본적으로 마기가 서린 가루가 필요하지.{nl}샤튼 저수구역에 설치된 5개의 마력 응집기가 붉은 빛을 내고 있을 거야.				불릿 마커 마스터가 준 메모장
QUEST_20180122_007161	Get rid of some monsters around it and get their flesh.	저수구역에 있는 몬스터를 처치하면 마기가 서린 몬스터의 살점을 얻을 수 있어.				불릿 마커 마스터가 준 메모장
