SKILL_20150317_000001	Angriff
SKILL_20150317_000060	[Cockatrice] Magisch, Magie, Feuer, Qualmfeuer, 3-mal
SKILL_20150317_000061	[Zinut] Physisch, Stoß, Feuerangriff 1-mal
SKILL_20150317_000062	[Zinut] Physisch, Hieb, Feuerangriff 1-mal
SKILL_20150317_000063	[Tontulia] Physischer Schlag, Blitzangriff 1-mal
SKILL_20150317_000064	[Tontulia] Physischer Schlag, Blitzangriff, 2-mal
SKILL_20150317_000065	[Tontus] Physischer Schlag, Giftangriff, 2-mal
SKILL_20150317_000066	[Tontus] Physischer Stoß, Giftangriff 1-mal
SKILL_20150317_000067	[Tontus] Physischer Schlag, Giftangriff 1-mal
SKILL_20150317_000068	[Vekarabäus] Physisch, Stoß, Gift, Vorwärts-Stoßangriff
SKILL_20150317_000069	[Vekarabäus] Physisch, Stoß, Gift, Vorwärts-Hoch-Stoßangriff
SKILL_20150317_000070	[Geppetto] Physischer Schlag, Erdangriff, 2-mal
SKILL_20150317_000071	[Geppetto] Physischer Schlag, Erdangriff 1-mal
SKILL_20150317_000072	[Geppetto] Physischer Schlag, Erdangriff 1-mal
SKILL_20150317_000073	[Buwuk] Physischer Schlag, Erdangriff 1-mal
SKILL_20150317_000074	[Buwuk] Physischer Schlag, Erd-Fußstampfangriff 1-mal
SKILL_20150317_000075	[Desmodus] Physisch, Stoß, Schatten, Schwanzhieb
SKILL_20150317_000076	[Desmodus] Physisch, Stoß, Schatten-Körperhieb
SKILL_20150317_000077	[Pino] Physischer Schlag, Erdangriff 1-mal
SKILL_20150317_000078	[Coliblume] Physisch, Stoß, Gift, Tentakelschmettern
SKILL_20150317_000079	[Coliblume] Physisch, Stoß, Gift, Tentakelhieb
SKILL_20150317_000080	[Coliblume] Physisch, Stoß, Gift, Bodenschmettern
SKILL_20150317_000081	[Helmkrabbler] Physisch, Stoß, Erde, Angriff 1-mal
SKILL_20150317_000082	[Helmkrabbler] Normaler Angriff 2
SKILL_20150317_000083	[Bikaaras-Magier] Magisch, Magisch, Feuer, Angriff 1-mal
SKILL_20150317_000084	[Bikaaras-Magier] Physisch, Hieb, Feuer, Angriff 1-mal
SKILL_20150317_000085	[Vikaras] Physisch, Hieb, Feuer, Angriff 1-mal
SKILL_20150317_000086	[Vikaras] Physisch, Hieb, Feuer, Bodenschmettern 1-mal
SKILL_20150317_000087	[Chinency-Mutant] Normaler Angriff, Vorwärts-Geschoss
SKILL_20150317_000088	[Zinut] Einhändiger Hieb
SKILL_20150317_000089	[Zinut] Zweihändiges Klatschen
SKILL_20150317_000090	[Zinut] Bodenschmettern
SKILL_20150317_000091	[Lauzinut] Physisch, Stoß, Feuerangriff 1-mal
SKILL_20150317_000092	[Lauzinut] Physisch, Stoß, Feuer-Drehangriff
SKILL_20150317_000093	[Dandel] Physisch, Stoß, Blitzangriff 1-mal
SKILL_20150317_000094	[Rusratte] Physisch, Hieb, Blitzangriff, 2-mal
SKILL_20150317_000095	[Rusratte] Physisch, Hieb, Blitzangriff 1-mal
SKILL_20150317_000096	[Medakia] Physisch, Hieb, Schattenangriff 1-mal
SKILL_20150317_000097	[Medakia] Magisch, Magisch, Schattenangriff 1-mal
SKILL_20150317_000098	[Medakia] Bodenschmettern
SKILL_20150317_000099	[Raden] Zweihändiges Klatschen
SKILL_20150317_000100	[Mauros] Physisch, Schlag, Schattenangriff 1-mal
SKILL_20150317_000101	[Mauros] Physisch, Schlag, Schatten-Schmetterangriff 1-mal
SKILL_20150317_000102	[Steinga] Physisch, Schlag, Erdangriff 1-mal
SKILL_20150317_000103	[Steinga] Physisch, Schlag, Erd-Bodenschmettern
SKILL_20150317_000104	Kürbis: normaler Angriff.
SKILL_20150317_000105	Angriff 2
SKILL_20150317_000106	Kürbis: normaler Angriff 2.
SKILL_20150317_000107	[Saurman-Priester] Normaler Angriff.
SKILL_20150317_000108	Fertigkeiten
SKILL_20150317_000109	[Saurman-Priester] Fertigkeiten.
SKILL_20150317_000110	Saurman: normaler Angriff.
SKILL_20150317_000111	Saurman: normaler Angriff 2.
SKILL_20150317_000112	Geisterjunge: normaler Angriff.
SKILL_20150317_000113	Geisterjunge: Fertigkeiten.
SKILL_20150317_000114	Geisteronkel: normaler Angriff.
SKILL_20150317_000115	Geisteronkel: Fertigkeiten.
SKILL_20150317_000116	Elite-Gobel: normaler Angriff.
SKILL_20150317_000117	Elite-Gobel: normaler Angriff 2.
SKILL_20150317_000118	Nachi-Zombie: normaler Angriff.
SKILL_20150317_000119	Nachi-Zombie: normaler Angriff 2.
SKILL_20150317_000120	Zombie-Berserker: normaler Angriff.
SKILL_20150317_000121	Kerzenzombie: normaler Angriff.
SKILL_20150317_000122	Zombie-Bogenschütze: normaler Angriff
SKILL_20150317_000123	[Großvubbe] Physisch, Hieb, Wasser, normaler Angriff
SKILL_20150317_000124	[Großvubbe-Bogenschütze] Fernkampf, Stoß, Wasser, normaler Angriff
SKILL_20150317_000125	Geistermädchen: normaler Angriff.
SKILL_20150317_000126	Geistermädchen: Fertigkeiten.
SKILL_20150317_000127	Geistermadam: normaler Angriff.
SKILL_20150317_000128	Geistermadam: Fertigkeiten.
SKILL_20150317_000129	Mirtis-Auge: normaler Angriff.
SKILL_20150317_000130	Mirtis-Auge: normaler Angriff 2.
SKILL_20150317_000131	Elitewiedergänger: normaler Angriff.
SKILL_20150317_000132	Elitewiedergänger: normaler Angriff 2.
SKILL_20150317_000133	[Chinency] Physisch, Schlag, Erde, Drehangriff
SKILL_20150317_000134	[Popolion] Physisch, Schlag, Erde, Kopfstoß
SKILL_20150317_000135	[Popolion] Physisch, Schlag, Erde, Schallwellenangriff
SKILL_20150317_000136	[Chinency-Fernkämpfer] Normaler Angriff, Vorwärts-Geschoss
SKILL_20150317_000137	[Chinency-Fernkämpfer] Normaler Angriff, Vorwärts-Geschoss, Rückschlag auslösen
SKILL_20150317_000138	[Chupacabra] Physisch, Schlag, Erde, Kopfstoß
SKILL_20150317_000139	[Chupacabra] Physisch, Schlag, Erde, Sprung und Stampfen
SKILL_20150317_000140	[Chupacabra] Chupa: normaler Angriff 3
SKILL_20150317_000141	[Chupacabra] Chupa: normaler Angriff 4
SKILL_20150317_000142	Wiedergänger: normaler Angriff.
SKILL_20150317_000143	Waldgeist: normaler Angriff.
SKILL_20150317_000144	Waldgeist: normaler Angriff 2.
SKILL_20150317_000145	Deckung: normaler Angriff.
SKILL_20150317_000146	Deckung: normaler Angriff 2.
SKILL_20150317_000147	Große Explosion
SKILL_20150317_000148	Große Explosion (Abwehr)
SKILL_20150317_000149	Einfacher Geschützturm: normaler Angriff.
SKILL_20150317_000150	[Ridimed] Physisch, Schlag, Gift, Angriff 1-mal
SKILL_20150317_000151	Koboldkämpfer: Angriff.
SKILL_20150317_000152	Dornenranke: normaler Angriff.
SKILL_20150317_000153	[Kampfsoldaten] Kämpferangriff
SKILL_20150317_000154	[Kampfsoldaten] Kämpferangriff 2
SKILL_20150317_000155	Zombie-Bogenschütze: Fertigkeit.
SKILL_20150317_000156	Rollstuhlzombie: normaler Angriff.
SKILL_20150317_000157	Rollstuhlzombie: Fertigkeiten.
SKILL_20150317_000158	Flammenwand
SKILL_20150317_000159	Erschaffe eine Flammenwand, die Gegnern bei Kontakt Schaden zufügt.
SKILL_20150317_000160	Minenexplosion
SKILL_20150317_000161	Jage Minen in die Luft.
SKILL_20150317_000162	Giftexplosion
SKILL_20150317_000163	Jage Giftminen in die Luft.
SKILL_20150317_000164	Claymore-Explosion
SKILL_20150317_000165	Claymore-Explosion.
SKILL_20150317_000166	Sprungangriff
SKILL_20150317_000167	Lebensstrom
SKILL_20150317_000168	Lebensstrom: Heilung.
SKILL_20150317_000169	Gletscherkeil
SKILL_20150317_000170	Nach 2 Angriffen in Folge mit Gletscherkeil.
SKILL_20150317_000171	Samenexplosion
SKILL_20150317_000172	Samenexplosion.
SKILL_20150317_000173	Flammenexplosion
SKILL_20150317_000174	Flammenexplosion.
SKILL_20150317_000175	Schneesturm
SKILL_20150317_000176	Meteorknall
SKILL_20150317_000177	Normaler Angriff
SKILL_20150317_000178	Waffenhieb
SKILL_20150317_000179	Schlag mit der Waffe auf Gegner ein und füge Schaden zu, während du sie wegschiebst.
SKILL_20150317_000180	Geschossangriff
SKILL_20150317_000181	AOS-Geschützturmangriff
SKILL_20150317_000182	[Waldschrat] Angriff
SKILL_20150317_000183	Salamanderangriff
SKILL_20150317_000184	[Vubbe-Bergarbeiter] Physisch, Hieb, Erde, Spitzhackenschwung
SKILL_20150317_000185	Hallenstatue: Angriff
SKILL_20150317_000186	Hallenstatue: Fertigkeit
SKILL_20150317_000187	Priesterangriff 1
SKILL_20150317_000188	Priesterfertigkeit 1
SKILL_20150317_000189	[Grünerscheinung] Magisch, Magisch, Blitz, Angriff 1-mal
SKILL_20150317_000190	Statue: Angriff 1
SKILL_20150317_000191	[Vubbe-Dieb] Physisch, Hieb, Erde, Speerwirbel
SKILL_20150317_000192	[Vubbe-Dieb] Physisch, Stoß, Erd-Widderfertigkeiten
SKILL_20150317_000193	[Saurman-Speerträger] Normaler Angriff.
SKILL_20150317_000194	[Saurman-Speerträger] Normaler Angriff 2.
SKILL_20150317_000195	[Vubbe-Bogenschütze] Fernkampf, Stoß, Erde, frontaler Pfeilschuss
SKILL_20150317_000196	[Pokubu] Physisch, Schlag, Erde, Hakenangriff
SKILL_20150317_000197	[Beutelwurm] Magisch, Magie, Gift, frontaler Giftverbreitungsangriff
SKILL_20150317_000198	[Beutelwurm] Fernkampf, Magisch, Gift, Gift-Fernkampfschuss
SKILL_20150317_000199	[Saurman-Axtträger] Normaler Angriff.
SKILL_20150317_000200	[Saurman-Axtträger] Normaler Angriff 2.
SKILL_20150317_000201	Heilung
SKILL_20150317_000202	Monsterheilung
SKILL_20150317_000203	Vubbe-Bergarbeiter: Angriff
SKILL_20150317_000204	[Wild-Pokubu] Normaler Angriff.
SKILL_20150317_000205	Deckung: normaler Angriff.
SKILL_20150317_000206	Deckung: normaler Angriff 2.
SKILL_20150317_000207	Deckung: normaler Angriff 3.
SKILL_20150317_000208	[Kerzenspinne] Physisch, Hieb, Schatten, Einbeiniger Angriff
SKILL_20150317_000209	[Kerzenspinne] Physisch, Hieb, Schatten, Bodyslam
SKILL_20150317_000210	[Kerzenspinne] Physisch, Hieb, Schatten, Sprung und Zweibeinerstampfen
SKILL_20150317_000211	[Flügelfrosch] Physisch, Hieb, Gift, Angriff 1-mal
SKILL_20150317_000212	[Flügelfrosch] Physisch, Hieb, Gift, Giftangriff 1-mal
SKILL_20150317_000213	[Flügelfrosch] Physisch, Hieb, Schatten, Kopfstoß-Rückschlagangriff
SKILL_20150317_000214	[Schwarzblattkäfer] Physisch, Hieb, Schatten, Bodyslam
SKILL_20150317_000215	[Schwarzblattkäfer] Physisch, Hieb, Schatten, Beißangriff
SKILL_20150317_000216	[Schwarzblattkäfer] Physisch, Hieb, Schatten, Sprungangriff
SKILL_20150317_000217	[Grabgolem] Physisch, Hieb, Erdangriff 1-mal
SKILL_20150317_000218	[Drache] Physisch, Hieb, Feuer, Angriff 1-mal
SKILL_20150317_000219	[Drache] Magisch, Magie, Feuer, Qualmflammenangriff
SKILL_20150317_000220	[Großcockatrice] Physisch, Stoß, Feuer, Angriff, 2-mal
SKILL_20150317_000221	[Großcockatrice] Magisch, Stoß, Feuer, Fliegender Kopfstoß
SKILL_20150317_000222	[Großcockatrice]
SKILL_20150317_000223	[Pantoschamane] Physischer normaler Schlag
SKILL_20150317_000224	[Pantoschamane] Magischer Blitzschlag
SKILL_20150317_000225	[Pantoschamane] Magische Blitzmagie
SKILL_20150317_000226	[Panto-Zauberkundiger] Physischer normaler Schlag
SKILL_20150317_000227	[Panto-Zauberkundiger] Magischer Blitzschlag
SKILL_20150317_000228	[Panto-Zauberkundiger] Magische Blitzmagie
SKILL_20150317_000229	[Moya] Physisch, Schlag, Blitzangriff
SKILL_20150317_000230	[Moyabu] Physisch, Schlag, Blitzangriff
SKILL_20150317_000231	[Bavon] Physisch, Schlag, Erdangriff
SKILL_20150317_000232	[Tanu] Physischer Gifthieb
SKILL_20150317_000233	[Zignuss] Physischer Giftschlag
SKILL_20150317_000234	[Zignuss] Physischer normaler Hieb
SKILL_20150317_000235	[Moglan] Physisch, Stoß, Blitzangriff
SKILL_20150317_000236	[Moglan] Physisch, Stoß, Blitz, Drehangriff, 2-mal
SKILL_20150317_000237	[Denden] Physisch, Schlag, Schattenangriff
SKILL_20150317_000238	[Denden] Fernkampf, Magie, Schattenschuss 1-mal
SKILL_20150317_000239	[Doyor] Physisch, Schlag, Giftangriff
SKILL_20150317_000240	[Doyor] Magisch, Reflektieren, Schildmagie
SKILL_20150317_000241	[Tipio] Physischer normaler Schlag
SKILL_20150317_000242	[Tipio] Magische Giftmagie
SKILL_20150317_000243	[Rondo] Physisch, Stoß, Erdangriff
SKILL_20150317_000244	Physisch, Schlag, Erde, Angriff
SKILL_20150317_000245	[Erdwicht] Physisch, Schlag, Schattenangriff
SKILL_20150317_000246	[Venuzelos] Physisch, Schlag, Erde, Angriff
SKILL_20150317_000247	[Venuzelos] Physisch, Schlag, Erde, Angriff 3-mal
SKILL_20150317_000248	[Grabgolem] Physisch, Schlag, nicht-elementar, Angriff
SKILL_20150317_000249	[Grabgolem] Physisch, Schlag, nicht-elementar, Schmetterangriff
SKILL_20150317_000250	[Grabgolem] Physisch, Schlag, nicht-elementar, Angriff naher Monster
SKILL_20150317_000251	[Raden] Physisch, Stoß, Blitz-Stoßangriff
SKILL_20150317_000252	[Raden] Physisch, Stoß, Blitz- Drehangriff, 2-mal
SKILL_20150317_000253	[Raden] Physisch, Stoß, starker Blitz-Stoßangriff
SKILL_20150317_000254	[Rocktor] Physisch, Schlag, nicht-elementar, Bodyslam
SKILL_20150317_000255	[Caro] Physisch, Hieb, Gift, Angriff, 2-mal
SKILL_20150317_000256	[Vubbe-Kämpfer] Einmalig, physisch, Schlag, Erde
SKILL_20150317_000257	[Rotkepa] Einmalig, physisch, Stoß, Feuer
SKILL_20150317_000258	[Tini] Physisch, Hieb, Blitz, Angriff, 2-mal
SKILL_20150317_000259	[Wandelbaum] Physisch, Schlag, Erde, Angriff
SKILL_20150317_000260	[Spino] Physisch, Schlag, Gift, Angriff, 2-mal
SKILL_20150317_000261	[Fledermaus] Physisch, Schlag, Schatten, Schlag mit Flügeln
SKILL_20150317_000262	[Fetzer] Magisch, Magisch, Schatten, Schatten
SKILL_20150317_000263	[Yekubiss] Physisch, Schlag, Eis, Kopfstampfen
SKILL_20150317_000264	[Scherbenstatue] Physisch, Stoß, Blitz, Flügelschlag
SKILL_20150317_000265	[Kire] Physisch, Schlag, Blitz, Angriff
SKILL_20150317_000266	[Baumghul] Physisch, Schlag, Schatten, Angriff
SKILL_20150317_000267	[Ammon] Physisch, Hieb, Erdangriff
SKILL_20150317_000268	[Operor] Physisch, Stoß, Gift, Bienenstoßangriff
SKILL_20150317_000269	[Käferbiene] Physisch, Stoß, Gift, Stoß
SKILL_20150317_000270	[Ravinelerva] Fernkampf, magisch, Gift, Angriff
SKILL_20150317_000271	[Glattnase] Physisch, Schlag, Schatten, Schwanzpeitschen
SKILL_20150317_000272	[Karas] Physisch, Hieb, Schatten, Angriff
SKILL_20150317_000273	[Echad] Physisch, Schlag, Erde, Angriff
SKILL_20150317_000274	[Schtaim] Physisch, Schlag, Erde, Angriff
SKILL_20150317_000275	[Grabsinker] Physisch, Stoß, Schatten, Angriff
SKILL_20150317_000276	[Weber] Physisch, Schlag, Erde, Rauchangriff
SKILL_20150317_000277	[Finsterling] Magisch, Magisch, Schatten, Angriff
SKILL_20150317_000278	[Infrorocktor] Physisch, Schlag, Erde, einhändiger Treffer
SKILL_20150317_000279	[Megel] Physisch, Hieb, Gift, Angriff
SKILL_20150317_000280	[Infroburk] Physisch, Schlag, Feuer, Angriff
SKILL_20150317_000281	[Zolem] Physisch, Schlag, Erde, Angriff
SKILL_20150317_000282	[Kepa-Räuber] Physisch, Schlag, Schatten, Angriff
SKILL_20150317_000283	[Aggropilz] Physisch, Schlag, Schatten, Körperangriff
SKILL_20150317_000284	[Waldschrat] Physisch, Hieb, Schatten, Angriff
SKILL_20150317_000285	[Holzkobold] Physisch, Schlag, Blitz, Angriff
SKILL_20150317_000286	[Steinorca] Physisch, Schlag, Eis, Schwanzhaken
SKILL_20150317_000287	[Steinorca] Magisch, erhöhtes Blocken, Verstärkung, Magie
SKILL_20150317_000288	[Drape] Physisch, Stoß, Giftangriff
SKILL_20150317_000289	[Infrohalter] Physisch, Schlag, Feuer, Angriff
SKILL_20150317_000290	[Repushase] Physisch, Hieb, Eis, Angriff
SKILL_20150317_000291	[Panzero] Physisch, Schlag, Feuerangriff
SKILL_20150317_000292	[Hund] Physisch, Stoß, Schattenangriff
SKILL_20150317_000293	[Stolett] Physisch, Schlag, Schattenangriff
SKILL_20150317_000294	[Knastkämpfer] Physisch, Hieb, Schattenangriff
SKILL_20150317_000295	[Caro] Physisch, Hieb, Gift, Angriff
SKILL_20150317_000296	[Made] Physisch, Schlag, Schatten, Bodyslam
SKILL_20150317_000297	[Vubbe-Verfolger] Physisch, Stoß, Schatten, Stoßangriff
SKILL_20150317_000298	[Rotmeduse] Magisch, Magie, Feuer, Angriff
SKILL_20150317_000299	[Helgazerkel-Avatar] Magische Schattenmagie
SKILL_20150317_000300	[Filibo] Physisch, Schlag, Giftangriff
SKILL_20150317_000301	[Ellom] Physisch, Schlag, Blitz, Rauchangriff
SKILL_20150317_000302	[Ellom] Physisch, Schlag, Blitz, Schmetterangriff
SKILL_20150317_000303	[Borstler-Krieger] Physisch, Hieb, Feuer, Angriff
SKILL_20150317_000304	[Borstler-Bogenschütze] Fernkampf, Stoß, Blitz, Angriff
SKILL_20150317_000305	[Borstler-Schamane] Magisch, Magisch, Feuerangriff
SKILL_20150317_000306	[Merog-Schamane] Magisch, Magisch, Eis, Fernkampf-Befehlsangriff
SKILL_20150317_000307	[Merog-Nadler] Physisch, Stoß, Gift, Giftnadelschuss
SKILL_20150317_000308	[Borstler-Schamane] Magisch, Magisch, Feuer, Feuerwandangriff
SKILL_20150317_000309	[Merog-Schamane] Magisch, Schlag, Eis, Zauberstockwurf nach vorn
SKILL_20150317_000310	[Borstler-Krieger] Physisch, Schlag, Feuer, Schild-Rückschlagangriff
SKILL_20150317_000311	[Borstler-Krieger] Verstärkung, Magisch, Feuer, Erhöhtes Blocken
SKILL_20150317_000312	[Merog-Nadler] Physisch, Stoß, Gift, Sprung und Giftnadelschuss
SKILL_20150317_000313	[Borstler-Kampfhauptmann] Physisch, Hieb, Schatten, Angriff
SKILL_20150317_000314	[Borstler-Kampfhauptmann] Physisch, Stoß, Schatten, Angriff
SKILL_20150317_000315	[Borstler-Kampfhauptmann] Monsterbeschwörung
SKILL_20150317_000316	[Echsenmensch] Physisch, Schlag, Blitz, Angriff
SKILL_20150317_000317	[Chupaluka] Physisch, Schlag, Schattenangriff
SKILL_20150317_000318	[Ellomago] Physisch, Stoß, Blitz, Angriff
SKILL_20150317_000319	[Ellogua] Physisch, Stoß, Blitzangriff
SKILL_20150317_000320	[Ellogua] Fernkampf, Magisch, Blitzschuss
SKILL_20150317_000321	[Wendigo] Physisch, Hieb, Feuer, Angriff
SKILL_20150317_000322	[Echsenmensch] Physisch, Schlag, Blitz, Losmarschieren und Kopfstoßangriff
SKILL_20150317_000323	[Kepari] Magisch, Magisch, Feuerangriff, Feuerschwächung
SKILL_20150317_000324	[Kodomor] Physisch, Schlag, Giftangriff
SKILL_20150317_000325	[Kowak] Physisch, Schlag, Erdangriff
SKILL_20150317_000326	[Groll] Physisch, Stoß, Gift, Rauchangriff
SKILL_20150317_000327	[Groll] Physisch, Stoß, Gift, Stoß-Hornangriff
SKILL_20150317_000328	[Chupacabra] Physisch, Schlag, Schatten, Angriff
SKILL_20150317_000329	[Tama] Physisch, Schlag, Erdangriff
SKILL_20150317_000330	[Medakia] Magisch, Hieb, Schattenangriff
SKILL_20150317_000331	[Lemur] Physisch, Hieb, Eisangriff
SKILL_20150317_000332	[Borstler-Kämpfer] Physisch, Hieb, Blitz, Angriff
SKILL_20150317_000333	[Borstler-Wache] Physisch, Schlag, Eis, Angriff
SKILL_20150317_000334	Physisch, Schlag, Erde, einhändiger Angriff
SKILL_20150317_000335	Magisch, Magisch, Ebenenheilung
SKILL_20150317_000336	Physisch, Schlag, Erd-Körperangriff, 3-mal
SKILL_20150317_000337	[Alter Haken] Physisch, Hieb, Erde, Angriff
SKILL_20150317_000338	[Alter Haken] Physisch, Hieb, Erde, Schmetterangriff
SKILL_20150317_000339	[Alter Haken] Physisch, Hieb, Erde, Drehangriff
SKILL_20150317_000340	[Varv] Physisch, Schlag, Gift, Angriff
SKILL_20150317_000341	[Phyrakon] Magisch, Magisch, Feuer, Feuerschussangriff 3-mal
SKILL_20150317_000342	[Phyrakon] Physisch, Schlag, Feuer, Angriff
SKILL_20150317_000343	[Phyrakon] Magisch, Magisch, Feuer, Flammenqualmangriff 2-mal
SKILL_20150317_000344	[Rot-Althaken] Physisch, Hieb, Feuer, Drehangriff
SKILL_20150317_000345	[Rot-Althaken] Physisch, Hieb, Feuer, Schmetterangriff
SKILL_20150317_000346	[Arma] Physisch, Stoß, Feuer, Angriff
SKILL_20150317_000347	[Arma] Physisch, Stoß, Feuer, Sprintangriff, 2-mal
SKILL_20150317_000348	[Phiole] Physisch, Schlag, Feuer, Angriff
SKILL_20150317_000349	[Schwarze Schamanenpuppe] Physisch, Stoß, Schatten, Angriff
SKILL_20150317_000350	[Dimmer] Physisch, Schlag, Feuer, Angriff
SKILL_20150317_000351	[Dimmer] Physisch, Schlag, Feuer, Angriff, 2-mal
SKILL_20150317_000352	[Zauberkundigen-Schamanenpuppe] Physisch, Schlag, Schatten, Angriff
SKILL_20150317_000353	[Zauberkundigen-Schamanenpuppe] Physisch, Schlag, Schatten, Drehangriff, 3-mal
SKILL_20150317_000354	[Flamme von Sequoia] Magisch, Magisch, Feuer, Angriff
SKILL_20150317_000355	[Rablume] Physisch, Stoß, Gift, Tentakelangriff
SKILL_20150317_000356	[Rablume] Physisch, Stoß, Gift, Tentakelangriff
SKILL_20150317_000357	[Vubbe-Zauberkundiger] Magisch, Magisch, Feuer, Energieblitz
SKILL_20150317_000358	[Vubbe-Zauberkundiger] Magisch, Magisch, Feuer, Reflektieren-Verstärkung
SKILL_20150317_000359	[Vubbe-Feuer-Zauberkundiger] Magisch, Magisch, Feuer, Fernkampf-Feuerballangriff
SKILL_20150317_000360	[Vubbe-Feuer-Zauberkundiger] Magisch, Magisch, Feuer, Feuersäulenangriff
SKILL_20150317_000361	[Vubbe-Eis-Zauberkundiger] Magisch, Magisch, Eis, Fernkampf-Eissplitterangriff
SKILL_20150317_000362	[Vubbe-Eis-Zauberkundiger] Magisch, Magisch, Eis, Wiedereinfrieren-Wellenangriff
