QUEST_LV_0100_20150317_000001	Sentinel
QUEST_LV_0100_20150317_000078	Commander Wallace is at Bird Footprint Junction.
QUEST_LV_0100_20150317_000079	I don't care how good you are. You are new here.{nl}This is an order. Bring me some sap from Kepa Raiders.
QUEST_LV_0100_20150317_000080	Soldiers these days, they lack guts.{nl}I hope you'll be a good influence to them.
QUEST_LV_0100_20150317_000081	It's clear that we will win this battle.{nl}Why? Because the Owls are helping.
QUEST_LV_0100_20150317_000082	Kepa Raiders are near Ianutis Waterfall.{nl}To defeat Gaigalas, we will surely need them.
QUEST_LV_0100_20150317_000083	Soldier Weiz
QUEST_LV_0100_20150317_000084	Hey, rookie, are you on a break?{nl}Get some fat from Duckys in Lengvas Garden.
QUEST_LV_0100_20150317_000085	We will lure Gaigalas using Ducky Fat.{nl}Hey rookie, don't loaf around, alright?
QUEST_LV_0100_20150317_000086	Today will be the last day for Gaigalas.{nl}Are you ready, rookie?
QUEST_LV_0100_20150317_000087	Next, we will get leather from Cronewts in Lengvas Garden.{nl}Hurry, soldier.
QUEST_LV_0100_20150317_000088	We will win for sure this time.{nl}The goddesses are on our side.
QUEST_LV_0100_20150317_000089	You are pretty good for a rookie.{nl}It's disorganized here at the moment, so you can keep those ingredients for now.{nl}
QUEST_LV_0100_20150317_000090	Get to know our soldiers while I make preparations for the battle.{nl}I will call you before we confront Gaigalas.
QUEST_LV_0100_20150317_000091	When we burn the Ducky Fat, Gaigalas will appear after smelling the odor.{nl}Lengvas Garden will be a good place to burn it.
QUEST_LV_0100_20150317_000092	My heart is pounding.{nl}I feel like my soul is throbbing with it.
QUEST_LV_0100_20150317_000093	Old Owl Sculpture
QUEST_LV_0100_20150317_000094	There is no one in this forest. Why are you here?{nl}
QUEST_LV_0100_20150317_000095	Gaigalas?{nl}Defeating it without any assistance will be difficult.
QUEST_LV_0100_20150317_000096	I have seen many deaths here.{nl}And I don't want to see any more sacrifices.
QUEST_LV_0100_20150317_000097	I need Kepa Raider Sap and Cronewt Leather.
QUEST_LV_0100_20150317_000098	Why do you have that?{nl}Hand it to me and I will make a Memory Fragment.
QUEST_LV_0100_20150317_000099	With this Memory Fragment, I will revive the memories of our sleeping comrades.
QUEST_LV_0100_20150317_000100	It will be difficult to defeat it without a Memory Fragment.{nl}Please bring me Infro Holder Horns.
QUEST_LV_0100_20150317_000101	How come you have all these ingredients?
QUEST_LV_0100_20150317_000102	Those are people who are already gone from this world. {nl}They are repeating what happened back then because of their anger for Gaigalas.
QUEST_LV_0100_20150317_000103	We can calm them if we defeat Gaigalas.{nl}Please go see the Worrying Owl.
QUEST_LV_0100_20150317_000104	Worrying Owl Sculpture
QUEST_LV_0100_20150317_000105	Please help me wake my sleeping comrades and complete the magic of that day.{nl}With the Memory Fragment.
QUEST_LV_0100_20150317_000106	They may become satiated.{nl}I will stand here while remembering my comrades.
QUEST_LV_0100_20150317_000107	You will find Gaigalas when you go to Ishimtini Access Way.{nl}Please avenge the fallen soldiers.
QUEST_LV_0100_20150317_000108	I was in an isolated place so I did not fall asleep.{nl}But, watching it all was painful for me.
QUEST_LV_0100_20150317_000109	My comrades were attacked while they were trying to help the soldiers.
QUEST_LV_0100_20150317_000110	(Jonas recovered awareness after drinking the medicine.)
QUEST_LV_0100_20150317_000111	Archaeologist Dezic
QUEST_LV_0100_20150317_000112	I am looking for my assistant named Airine.{nl}Can you defeat the monsters nearby so I can go look for her?
QUEST_LV_0100_20150317_000113	I told her not to get excited even if she finds something.{nl}And yet she did it again.
QUEST_LV_0100_20150317_000114	Thanks.{nl}I'll go look for Airine.
QUEST_LV_0100_20150317_000115	Technician Heinen
QUEST_LV_0100_20150317_000116	}This cable car can only be ridden by those with a permit. I'm afraid I have to tell you to turn back {nl}towards Vienesa Highlands.
QUEST_LV_0100_20150317_000117	However, if you defeat the troublesome monsters around this area, I'll think about it.
QUEST_LV_0100_20150317_000118	}Isn't it better to use the cable car rather than getting injured passing through the monsters? {nl}Of course, this is if you can ride the cable car.
QUEST_LV_0100_20150317_000119	Much better than I expected.{nl}I want to propose a deal to you.
QUEST_LV_0100_20150317_000120	I'll let you keep using the cable car if you destroy the strange seal at Nutoles Cliff.{nl}The monsters seem to be increasing in numbers because of that seal.
QUEST_LV_0100_20150317_000121	As promised, you can use the cable car as much as you want.{nl}Just tell William over there or Cyneburg on the other side that I gave my permission.
QUEST_LV_0100_20150317_000122	That barrier... Hmm. When exactly did it form?{nl}I know it has been there for quite some time now, but I can't remember for how long exactly.
QUEST_LV_0100_20150317_000123	I am certain that barrier was responsible for the increasing number of monsters lately.{nl}
QUEST_LV_0100_20150317_000124	We don't have many soldiers guarding this area.{nl}Who in their right mind would come here in this day and age?{nl}
QUEST_LV_0100_20150317_000125	Rolandas Jonas
QUEST_LV_0100_20150317_000126	No one knows what the Great King Zachariel tried to protect.{nl}And I'm sure that we're not the only ones who want to solve that mystery.
QUEST_LV_0100_20150317_000127	Hurry, use the Great King's Key to release the seals.{nl}You should know what to do next afterwards.
QUEST_LV_0100_20150317_000128	I found Airine, but I don't know how to rescue her.{nl}She is imprisoned in Rodoma 2nd Ruins, I can't rescue her myself...
QUEST_LV_0100_20150317_000129	Assistant Airine
QUEST_LV_0100_20150317_000130	I can't move because of the barrier.{nl}Please break the three barriers in Rodoma Ruins.
QUEST_LV_0100_20150317_000131	Are you not done yet? Ah, geez...
QUEST_LV_0100_20150317_000132	I didn't expect that I would be taken into this kind of thing.{nl}Oh, the mess I caused from chasing that boy.
QUEST_LV_0100_20150317_000133	Mercenary Glen
QUEST_LV_0100_20150317_000134	So many researchers are disappearing these days.{nl}I'm trying to find clues by defeating some Sauga. Can you help us?
QUEST_LV_0100_20150317_000135	The Saugas split their loot fairly among themselves.{nl}Maybe we can find some clues from them.
QUEST_LV_0100_20150317_000136	Fortunately they are very old.{nl}So that means these cases are not due to monsters.
QUEST_LV_0100_20150317_000137	This place is very dangerous; many have gone missing due to monsters or missteps.{nl}However, that is not what interests me.{nl}
QUEST_LV_0100_20150317_000138	When those people disappeared, no one close to them noticed.{nl}It's as if memories about those who disappeared are erased. Interesting, isn't it?{nl}
QUEST_LV_0100_20150317_000139	Please defeat all monsters nearby to prevent anything from happening.{nl}There were reports that the monsters at the 1st Architects' Site had turned violent.
QUEST_LV_0100_20150317_000140	Splendid.{nl}We will be safe for now.
QUEST_LV_0100_20150317_000141	Monsters are coming!{nl}They probably found out I was released.
QUEST_LV_0100_20150317_000142	The goddesses have sent you?{nl}I never thought that you would protect me.{nl}
QUEST_LV_0100_20150317_000143	Where did that huge scorpion go? This is very bad!
QUEST_LV_0100_20150317_000144	I should go see Dezic.{nl}I hope to see you again in the future.
QUEST_LV_0100_20150317_000145	Someone must have done something strange to the monsters protecting the Royal Mausoleum.{nl}What were they thinking?
QUEST_LV_0100_20150317_000146	Sir, get a hold of yourself. Sir!
QUEST_LV_0100_20150317_000147	New Researcher
QUEST_LV_0100_20150317_000148	I lost my important research materials at the Abandoned Old Workshop.{nl}The monsters must have taken them... Should I just leave them behind?
QUEST_LV_0100_20150317_000149	I am elated that I get to see the Royal Mausoleum myself, but the monsters... they are frightening.
QUEST_LV_0100_20150317_000150	Thank you so much.{nl}You should also check the Records Repository.
QUEST_LV_0100_20150317_000151	The entrance to the Royal Mausoleum is hidden within this gigantic canyon somewhere.{nl}The start of the canyon begins here.
QUEST_LV_0100_20150317_000152	Many experts have come here to conduct research on the Royal Mausoleum.{nl}Maybe we can find some clues about Medzio Diena here.
QUEST_LV_0100_20150317_000153	Why are there so many monsters in the canyon when there is so little plant life around?
QUEST_LV_0100_20150317_000154	What happened to my request? Is it not done yet?
QUEST_LV_0100_20150317_000155	Look closely at the ground.{nl}It may have fallen down.
QUEST_LV_0100_20150317_000156	Hmm, only these ones?{nl}Well, thank you for finding this much at least.{nl}I can just copy the others from the beginning again.
QUEST_LV_0100_20150317_000157	Niels sent you too?{nl}I am not going. I have to research these wild flowers.{nl}
QUEST_LV_0100_20150317_000158	I guess what I saw was an illusion.{nl}I must reward you for protecting a mineralogist like me.{nl}
QUEST_LV_0100_20150317_000159	Yes.{nl}Bring me my archives from Niels.
QUEST_LV_0100_20150317_000160	Jonas told you to bring his archives?{nl}Okay. In return, please bring him some medicine.{nl}
QUEST_LV_0100_20150317_000161	The medicine will help him ease his mind.{nl}Davio at the right side of the Excavation Camp has the medicine.
QUEST_LV_0100_20150317_000162	Jonas is the head of the family that protects the Royal Mausoleum of the Great King Zachariel.{nl}He was once very healthy, but these days he is old and weak.{nl}
QUEST_LV_0100_20150317_000163	It was after Jonas went out to a visit with his servant.{nl}Jonas was found with dementia and the servant has gone missing even until today.
QUEST_LV_0100_20150317_000164	Please take good care of Jonas.{nl}It would be a big problem if he got hurt.
QUEST_LV_0100_20150317_000165	Davio is at the right side of the camp.{nl}I hope the medicine will work well.
QUEST_LV_0100_20150317_000166	Finally, I remember everything.{nl}I am the head of the family that protects the Royal Mausoleum... Who are you?{nl}
QUEST_LV_0100_20150317_000167	Revelator. If this is the will of the goddess, then you must be qualified.{nl}You have a job to do, so follow me to Beacon Hill Pass.
QUEST_LV_0100_20150317_000168	I have made Niels and you worry...
QUEST_LV_0100_20150317_000169	I will lead the way and you will handle any monsters we encounter.{nl}I am counting on you.
QUEST_LV_0100_20150317_000170	The time is now. Please go on ahead to Beacon Hill Pass.
QUEST_LV_0100_20150317_000171	I am sure that you are qualified for this.{nl}Goddess Laima has led all these.
QUEST_LV_0100_20150317_000172	Finally the hidden treasure can be passed down to someone.{nl}I regret not recognizing you sooner due to my senility.
QUEST_LV_0100_20150317_000173	Great King Zachariel told us to bestow his hidden treasure upon a qualified person.{nl}You can check whether you are qualified with the Eyes of the Great King.
QUEST_LV_0100_20150317_000174	We have one more responsibility besides protecting the Royal Mausoleum.{nl}And that is to protect the royal inheritance until a qualified person comes.{nl}
QUEST_LV_0100_20150317_000175	We have no idea what exactly the hidden treasure is.{nl}The king just told us to protect it so we are just following his order.
QUEST_LV_0100_20150317_000176	Medicine Dealer
QUEST_LV_0100_20150317_000177	Hmm... Well, there's a herb that only grows around Metos Field.{nl}Please bring me it.
QUEST_LV_0100_20150317_000178	Metos Field would be the best place to wake up one's consciousness. Especially for an old man.
QUEST_LV_0100_20150317_000179	Good job. You're pretty sharp, aren't you?{nl}
QUEST_LV_0100_20150317_000180	Alright, it's done.{nl}Take this to Davio.
QUEST_LV_0100_20150317_000181	Merchant Davio
QUEST_LV_0100_20150317_000182	I brought that old man's medicine. {nl}But I spent a great deal of effort getting it. I ought to charge you more.{nl}
QUEST_LV_0100_20150317_000183	The gold that Lichenclops have in this town will be enough.{nl}Bring those to the Medicine Dealer in Kapas Highway.
QUEST_LV_0100_20150317_000184	This will be enough. Davio sent you, right?{nl} I still need one more ingredient to make the medicine truly effective.
QUEST_LV_0100_20150317_000185	To make the medicine, I needed to find the cause of Jonas' symptoms and it drove me crazy.{nl}Funnily enough, it was caused by a spell that was used long ago.{nl}
QUEST_LV_0100_20150317_000186	I heard a rumor that the Great King Zachariel erased the memories of all workers after {nl}building the Royal Mausoleum. That should be the spell casted on Jonas, though he is also a bit {nl}senile.
QUEST_LV_0100_20150317_000187	It was tough to get that old man's medicine.{nl}But, there's nothing I cannot get.
QUEST_LV_0100_20150317_000188	It will be completed once you melt it in the honey that you have. Take it with you.
QUEST_LV_0100_20150317_000189	That medicine works well. Make him swallow it somehow.
QUEST_LV_0100_20150317_000190	You're late.{nl}Did you bring my archive?
QUEST_LV_0100_20150317_000191	Go to the Abandoned Old Workshop.{nl}Some old man is wandering around there. I think it's Jonas.
QUEST_LV_0100_20150317_000192	What is that? It smells like mead!
QUEST_LV_0100_20150317_000193	I feel dizzy.{nl}What am I doing here anyway?
QUEST_LV_0100_20150317_000194	I am relieved you found me.{nl}When the monsters were chasing after me, I lost my belongings and all the materials.{nl}At the very least, could you find the scattered materials?
QUEST_LV_0100_20150317_000195	I don't have much to say as a humble mercenary.{nl}Although I was okay even on Medzio Diena, I am certain this place is cursed.{nl}
QUEST_LV_0100_20150317_000196	How long has it been since I came here?{nl}Where is Mirta and who are you?
QUEST_LV_0100_20150317_000197	I'm trying to remember something but it keeps fading whenever I get close.
QUEST_LV_0100_20150317_000198	Vaidotas
QUEST_LV_0100_20150317_000199	That smell.. I think the purifying device in the mine is broken.{nl}We better repair it quickly. The kidnapped villagers might suffocate.
QUEST_LV_0100_20150317_000200	Do you know about the legend of Cunningham?{nl}The legend states that a great demon was sealed here in the Crystal Mine.{nl}There is a book with more details about it at the Mine Worker's Resting Place in Crystal Mine 2F.{nl}
QUEST_LV_0100_20150317_000201	Anyway, my guess is that the demon is re-awakening and is controlling the Vubbes.{nl}The bishop's dream and the Legend of Cunningham... I feel they may be a sign that something{nl}huge is about to happen.{nl}
QUEST_LV_0100_20150317_000202	Only the goddess would know if it will be hope or despair.{nl}
QUEST_LV_0100_20150317_000203	The purifier can be easily fixed by anyone, but it may be hard to find the parts needed.{nl}In that case, use the compass that I gave you to search for them.{nl}
QUEST_LV_0100_20150317_000204	Well then, I have some things to do so I will meet you at 3F of the Crystal Mine.{nl}In the name of the goddess, I pray for success in your struggles.
QUEST_LV_0100_20150317_000205	If you can't find the parts needed to repair the purifier, use the compass I gave you.{nl}It'll help you find them.
QUEST_LV_0100_20150317_000206	Village Aunt
QUEST_LV_0100_20150317_000207	You've come to save us? Right?
QUEST_LV_0100_20150317_000208	It's alright, We are going to be okay now!
QUEST_LV_0100_20150317_000209	Village Girl
QUEST_LV_0100_20150317_000210	Please save us. Please...
QUEST_LV_0100_20150317_000211	Please release me. Please...
QUEST_LV_0100_20150317_000212	Mr. Juan
QUEST_LV_0100_20150317_000213	I get furious whenever I see those Vubbes who ruined my hometown.{nl}That's why I want to help people like you who fight against the Vubbes.
QUEST_LV_0100_20150317_000214	I would have left already if this wasn't my hometown.{nl}Where on earth were all the Vubbes hiding before they crawled out?
QUEST_LV_0100_20150317_000215	Pharmacist Lady
QUEST_LV_0100_20150317_000216	Thanks for your help last time.{nl}Without you, I would have never gotten this much ingredients.
QUEST_LV_0100_20150317_000217	Perhaps the person that the goddess sent was you.{nl}You are the most merciful person I have ever seen among the Revelators.
QUEST_LV_0100_20150317_000218	Soldier Jace
QUEST_LV_0100_20150317_000219	I will protect this village for my dead comrades.
QUEST_LV_0100_20150317_000220	Even if the world changes, I will never forgive the Vubbes.
QUEST_LV_0100_20150317_000221	Soldier Edgar
QUEST_LV_0100_20150317_000222	These are the rations that we gathered from East Siauliai Woods.{nl}I will never, ever lose them again. Ever.
QUEST_LV_0100_20150317_000223	Thanks to you, I received this much food.{nl}I am relieved.
QUEST_LV_0100_20150317_000224	Knight Commander Uska
QUEST_LV_0100_20150317_000225	Is this slate the evidence of salvation?{nl}It just looks like an old slate to me.
QUEST_LV_0100_20150317_000226	Ask the mayor of the Miners' Village about a way to Leaf Veil Plateau.{nl}I will send the message to the Paladin Master first. {nl}May the blessings of the goddess be with you.
QUEST_LV_0100_20150317_000227	It would be good to ask the Bokor Master to interpret this slate.{nl}She lives at the end of Klaipeda's Residential Area so go pay her a visit.
QUEST_LV_0100_20150317_000228	Use your time wisely.{nl}No one else fully knows your future.
QUEST_LV_0100_20150317_000229	So you finally returned.{nl}What did the Bokor Master tell you?
QUEST_LV_0100_20150317_000230	I'm also curious about the girl who cracked the seal.{nl}This is not a seal that can easily be broken.
QUEST_LV_0100_20150317_000231	If the Bokor Master told you that I would know it..{nl}There's one place that comes to mind.{nl}
QUEST_LV_0100_20150317_000232	The high gardens that the goddess mentioned could be an area within Leaf Veil Plateau. {nl}I heard the Paladin Master is there, uploading a long term promise. 
QUEST_LV_0100_20150317_000233	Miners' Village Mayor
QUEST_LV_0100_20150317_000234	Welcome. Aren't you our town's savior?{nl}
QUEST_LV_0100_20150317_000235	Leaf Veil Plateau, huh? If you take the road between the two bridges below, you'll reach {nl}Silverstream Gorge. 
QUEST_LV_0100_20150317_000236	So this revelation is from goddess Laima and we have to collect all these for the goddess {nl}to regain her powers?{nl}That is amazing.
QUEST_LV_0100_20150317_000237	Oh, please do not reveal the fact that a revelation has been found unless it is absolutely necessary.{nl}Doing so may only create confusion if the rumors spread.
QUEST_LV_0100_20150317_000238	Ah, the report.{nl}So you see, those Siaulagos were doing something strange to the supplies, {nl}then they started running away when Sparnas appeared.{nl}
QUEST_LV_0100_20150317_000239	I was spotted by those Siaulagos as they were running away, so I fought them...{nl}And as you can see, I lost. The report, I mean.{nl}Aren't they a pain to deal with?
QUEST_LV_0100_20150317_000240	If you find the report, please hand it over to Luders right away.{nl}Though I am terrified to think about what those bastards did to our supplies.
QUEST_LV_0100_20150317_000241	Yes, after seeing Moody's report, I am confident that they had put something in our supplies to{nl}lure Sparnas. Perhaps some Old Grains that the birds go crazy on.
QUEST_LV_0100_20150317_000242	The soldiers on patrol found the place where the Siaulambs' stolen goods are stored.{nl}How about we steal them back?{nl}Let's make it known that we're not as weak as they think.{nl}
QUEST_LV_0100_20150317_000243	You should fight fire with fire.{nl}We will keep attacking until they fully realize that they've made a mistake.
QUEST_LV_0100_20150317_000244	I hope that we won't be troubled with from now on.{nl}Thanks for your efforts.
QUEST_LV_0100_20150317_000245	The location is Ziedo Pond.{nl}I heard there are many Siaulambs, so be careful.
QUEST_LV_0100_20150317_000246	I have not heard anything else about the bishop's dream.{nl}Sorry, I can't be of much help.
QUEST_LV_0100_20150317_000247	Klaipeda Guard Captain
QUEST_LV_0100_20150317_000248	Go ahead to Klaipeda.{nl}Commander Uska is waiting for you in Klaipeda Central Plaza.{nl}I heard the bishop also had a dream about the goddess... it appears to concern that day.
QUEST_LV_0100_20150317_000249	Klaipeda Guard
QUEST_LV_0100_20150317_000250	Thank you for making your way here.{nl}If there is still this much left even after Sir Titas handled it himself, can you imagine how {nl}it was before?
QUEST_LV_0100_20150317_000251	Mercenary Toby
QUEST_LV_0100_20150317_000252	Do you want to do a simple task for me?{nl}I'm a known face so it will be hard for me to do it myself.
QUEST_LV_0100_20150317_000253	If you don't want to, then you don't have to.{nl}There are plenty of people around who can do this.
QUEST_LV_0100_20150317_000254	You passed.{nl}The strength you possess is tremendous.
QUEST_LV_0100_20150317_000255	It's definitely worth it.{nl}Even if the King spent all his assets building the Mausoleum, its size is huge.
QUEST_LV_0100_20150317_000256	Judging from this, these equipment are not permitted.{nl}Do not leave them lying around.{nl}
QUEST_LV_0100_20150317_000257	Okay. Bring me more evidence that those people are making counterfeits.{nl}Do whatever it takes.
QUEST_LV_0100_20150317_000258	I am looking for evidence of artifact forgery.{nl}Your first task will be to bring me any illegal digging tools that you find.
QUEST_LV_0100_20150317_000259	Of course you should show us your skills.{nl}Defeating Desert Chupacabras or Zinutes will be enough to prove yourself.
QUEST_LV_0100_20150317_000260	Supply Officer
QUEST_LV_0100_20150317_000261	Thank you for your help.{nl}I think this will be enough.{nl}
QUEST_LV_0100_20150317_000262	)}{nl}If you have time, please tell our troops to assemble.{nl} If you choose not to, you may just go ahead to Klaipeda.
QUEST_LV_0100_20150317_000263	Scout
QUEST_LV_0100_20150317_000264	Go back, it's dangerous!{nl}Kepas will soon be marching in.
QUEST_LV_0100_20150317_000265	Oh, you're a Revelator. It must be fate that we are to fight together. {nl}Let me give you the inside scoop.
QUEST_LV_0100_20150317_000266	You mentioned that we need to assemble, right?{nl}Help me find some missing belongings and I'll go as soon as I can.
QUEST_LV_0100_20150317_000267	Have you found my belongings yet? I can't go back without them.
QUEST_LV_0100_20150317_000268	Thank you. You found it sooner than I expected.{nl}
QUEST_LV_0100_20150317_000269	If you follow the road to the north, you will find the Search Scout.{nl}Good luck.
QUEST_LV_0100_20150317_000270	Laimonas
