ITEM_20150317_000001	Empty_helmet	없음_helmet
ITEM_20150317_000086	Ein Schwert, das bei tapferen Abenteurern beliebt ist. Merkwürdigerweise wird es oft von gefährlichen Monstern erbeutet. Wer in den Besitz eines solchen Schwerts gelangt, übt unwissentlich Rache für seinen früheren Besitzer.	뛰어난 모험가들이 사용하던 검입니다. 역설적인 이유로 강한 몬스터들의 몸에 있는 경우가 많습니다. 이 검을 얻는 사람은 자기도 모르게 전주인의 복수를 하는 셈입니다.  
ITEM_20150317_000087	Spatha	스파타
ITEM_20150317_000088	Eine verbesserte Version des Gladius, die über eine längere Klinge verfügt.	검날의 길이를 늘려 글라디우스의 부족한 점을 보와한 검입니다. 
ITEM_20150317_000089	Falchion des Aras	아라스의 폴쳔
ITEM_20150317_000090	Mit dieser Waffe erlebst du, wozu ein Falchion fähig ist.	폴쳔의 성능을 체험할 기회를 드립니다.
ITEM_20150317_000091	Schwert des Schmieds	스미스 소드
ITEM_20150317_000092	– Chance von 2 %, einen um 600 % erhöhten Schaden zu verursachen	 - 공격시 2% 확률로 +600% 피해
ITEM_20150317_000093	Dieses Schwert leuchtet aufgrund der Kunstfertigkeit seines Schöpfers gelegentlich auf.	가끔 대장장이의 웅혼한 혼을 보여주기도 합니다.
ITEM_20150317_000094	Klavis-Schwert	클라비스 소드
ITEM_20150317_000095	Trotz seines Mangels an Qualität verkauft es sich relativ gut.	성능에 비해서는 잘 팔리는 편입니다.
ITEM_20150317_000096	Dio-Schwert	디오 소드
ITEM_20150317_000097	Trescher-Schwert	트레시 소드
ITEM_20150317_000098	Sestas-Schwert	세스타스 소드
ITEM_20150317_000099	Dratt-Schwert	드라트 소드
ITEM_20150317_000100	Aston-Schwert	아스턴 소드
ITEM_20150317_000101	Devi-Schwert	데비 소드
ITEM_20150317_000102	Prima-Schwert	프리마 소드
ITEM_20150317_000103	Dreieinigkeitsschwert	트리니티 소드
ITEM_20150317_000104	Wenn dir ein Falchion nicht gefällt, bietet sich dieses Schwert als Alternative an. Allerdings musst du für die Fertigung mehr bezahlen.	한 종류의 폴쳔으로 만족하지 못한다면 그 적절한 대안입니다. 물론 제조비용이 따릅니다.
ITEM_20150317_000105	Durendal	듀란달
ITEM_20150317_000106	Viele Abenteurer benennen ihr bestes Schwert nach dieser Waffe. Das Original wurde von einem Krieger der Antike geführt, den eine Göttin erwählt hatte.	많은 이들이 스스로 훌륭하다고 생각하는 검에 이 이름을 붙이려고 합니다. 고대에 선택받은 여신의 용사가 사용했다던 검의 이름입니다.
ITEM_20150317_000107	Velniup	벨니웁
ITEM_20150317_000108	Man erzählt sich sogar, dass diese Waffe übermäßig grausam ist.	심지어 어떤 사람들은 이 검이 너무 잔혹한 무기라고까지 말합니다.
ITEM_20150317_000109	Fortis	포르티스
ITEM_20150317_000110	Während Medzio Diena war diese Waffe eher unbeliebt, jedoch hat das Auftauchen stark bewaffneter Monster ihren Wert bestätigt.	식물재앙 초기에는 인기가 없었으나 몬스터 가운데 강한 방어력을 지닌 것들이 발견됨에 따라 재평가되고 있습니다.
ITEM_20150317_000111	Schnitter des Schauermahrs	채퍼리션 커터
ITEM_20150317_000112	Einer Theorie zufolge wird dieses Schwert auch bei Auseinandersetzungen zwischen Dämonen eingesetzt.	일설에 따르면 마족들간의 분쟁에도 이 검이 사용된다고 합니다.
ITEM_20150317_000113	Schnitter des Todeswebers	데스위버 커터
ITEM_20150317_000114	Durch Führen dieser Klinge wird man zum Handlanger des Todes.	이제부터는 당신이 죽음을 자아내는 자가 되어야 합니다.
ITEM_20150317_000115	Schwert des Schauermahrs	채퍼리션 소드
ITEM_20150317_000116	Diese Waffe gilt als indirekter Beweis dafür, dass es Streitigkeiten zwischen Dämonen gibt.	마족간에 분쟁이 존재한다는 간접 증거이기도 합니다.
ITEM_20150317_000117	Bendras-Schwert	벤드라스 소드
ITEM_20150317_000118	Dieses Schwert birgt die Macht einer Göttin in sich, die in der Vergangenheit viele Übel besiegte.	여신의 권능이 일부 깃든 이 검은 고대로부터 많은 악을 처단했습니다.
ITEM_20150317_000119	Illizia	일리지아
ITEM_20150317_000120	Diese Klinge gefährdet sowohl das Leben des Gegners als auch die Geldbörse des Besitzers. Natürlich wird Letzteres von den meisten Schwertkämpfer ignoriert.	적의 생명과 주인의 재정에 심각한 위해를 가합니다. 물론 대부분의 검사들은 전자에 주목하기 때문에 후자는 무시합니다.
ITEM_20150317_000121	Scheduled for deletion	삭제예정
ITEM_20150317_000122	Zweihänder [Hieb]	양손검[베기]
ITEM_20150317_000123	Dunkel-Anderthalbhänder	던켈 바스타드 소드
ITEM_20150317_000124	Von einigen Handwerksmeistern und Soldaten wird diese Waffe als "eklektischer Zweihänder" bezeichnet. Damit wollen sie sich aus irgendeinem Grund rechtfertigen.	어떤 장인들과 검사들은 혼합양식의 양손 기본검이라 부릅니다. 자기 위안은 중요하니까 말입니다.
ITEM_20150317_000125	Flammenschwert	플랑베르쥬
ITEM_20150317_000126	Experten für Zweihandwaffen können mit dieser wellenförmigen Klinge massive Schäden verursachen.	양손검에 익숙하다면 물결치는 검날은 큰 피해를 입힐 수 있는 구조입니다.
ITEM_20150317_000127	Nodachi	노다치
ITEM_20150317_000128	Ein Nodachi mit genau der richtigen Länge kann seine Schlagkraft verstärken und den Raum zwischen seinem Besitzer und dem Gegner kontrollieren.	적당한 길의 노다치는 베는 위력을 증강시키고 적과의 간격을 지배합니다.
ITEM_20150317_000129	Claymore	클레이모어
ITEM_20150317_000130	Bei den Claymores dieses Königreichs achtet man hauptsächlich auf Gewicht und Kraft.	우리 왕국의 클레이모어는 무게와 위력을 중시하여 만들어집니다.
ITEM_20150317_000131	Koloss	콜로서스
ITEM_20150317_000132	Die an der Spitze ungewöhnlich aufgefächerte Klinge kann Schlagkraft und Vielseitigkeit vergrößern und das Schwert so vielen Kampftechniken angepasst werden.	부채꼴 모양의 검미는 위력을 증대시키고 다양한 기술에 응용될 가능성이 있습니다.
ITEM_20150317_000133	Excalibur	칼리번
ITEM_20150317_000134	Häufig von hochrangigen Soldaten als Waffe erwählt.	비교적 지위 높은 검사들이 애용하는 검입니다.
ITEM_20150317_000135	Quadarra	콰다라
ITEM_20150317_000136	Trotz seines Aussehens ist dieses Schwert zweischneidig und wird oft von Schwertkämpfern verwendet, denen besonders die praktische Anwendung wichtig ist.	얼핏 보이는 외양과 달리 양날검이며, 실전성을 추구하는 검사들의 애용합니다.
ITEM_20150317_000137	Leichtes Claymore	라이트 클레이모어
ITEM_20150317_000138	Dank der Eigenschaften dieses Schwertes kann der Benutzer es auch für Stichangriffe einsetzen.	검미의 구조를 이용해 적을 찍는 공격이 가능하다고 합니다.
ITEM_20150317_000139	Primitiver Koloss	조악한 콜로서스
ITEM_20150317_000140	Ilwun	일룬
ITEM_20150317_000141	Der große Ruklys trug dieses Schwert zu Beginn seiner Laufbahn.	위대한 루클리스도 초기에는 이 검을 애용했다고 합니다.
ITEM_20150317_000142	Übungs-Anderthalbhänder	연습용 바스타드 소드
ITEM_20150317_000143	Anderthalbhänder	바스타드 소드
ITEM_20150317_000144	Schweres Flammenschwert	헤비 플랑베르쥬
ITEM_20150317_000145	Schweres Nodachi	헤비 노다치
ITEM_20150317_000146	Schweres Claymore	헤비 클레이모어
ITEM_20150317_000147	Dunkelnodachi	던켈 노다치
ITEM_20150317_000148	Dunkelquadarra	던켈 콰다라
ITEM_20150317_000149	Dunkelflammenschwert	던켈 플랑베르쥬
ITEM_20150317_000150	Dunkelclaymore	던켈 클레이모어
ITEM_20150317_000151	Großschwert	그레이트 소드
ITEM_20150317_000152	Katzbalger	카츠발게르
ITEM_20150317_000153	Prunkdegen	드레스 소드
ITEM_20150317_000154	Bihänder	쯔바이핸더
ITEM_20150317_000155	Schwert des Henkers	엑스큐셔너스 소드
ITEM_20150317_000156	Lumai-Zweihänder	루마이 투 핸드 소드
ITEM_20150317_000157	Messerdolch	오버나이프
ITEM_20150317_000158	Potentia	포텐티아
ITEM_20150317_000159	Eine gute Alternative für alle, die mit einem normalen Flammenschwert nicht zufrieden sind.	평범함 플랑베르쥬에 만족하지 못한다면 이것이 좋은 대안이 됩니다.
ITEM_20150317_000160	Temsus-Flammenschwert	템서스 플랑베르쥬
ITEM_20150317_000161	Ein Schwert, das sich noch hervorragend verbessern lässt und die angeborene Stärke des Besitzers ergänzt. Probiere selbst einmal aus, was es alles kann.	당신의 잠재력과 더불어 큰 향상의 여지가 있는 무기입니다. 그 가능성을 시험해 보십시오.
ITEM_20150317_000162	Dirrel-Koloss	디델 콜로서스
ITEM_20150317_000163	Dieses Schwert eignet sich für alle, die ihren Schlägen mehr Gewicht, mehr Kraft und mehr Reichweite verleihen wollen.	더 무겁게, 더 강하게, 더 넓게 공격하길 원한다면 이 검이 도움이 될 수 있습니다. 
ITEM_20150317_000164	Panzerbrecher	콜렉투르
ITEM_20150317_000165	Obwohl diese Waffe heutzutage recht beliebt ist, wurde sie vor Medzio Diena nur als Dekoration und Sammelobjekt angesehen.	식물재앙 이후 실전에서도 많이 쓰이지만, 그전에는 장식과 수집용 검의 성격이 짙었습니다.
ITEM_20150317_000166	Borstler-Großschwert	호그마 그레이트 소드
ITEM_20150317_000167	Wie die Borstler diese Waffe erhielten oder fertigten, ist unwichtig. Wir sind ausschließlich daran interessiert, sie selbst herzustellen und einzusetzen.	호그마들이 어디서 이런 무기를 구하는지 혹은 만드는지는 중요하지 않습니다. 우리가 제조하여 사용할 수 있다는 점이 중요합니다.
ITEM_20150317_000168	Cheminis-Anderthalbhänder	케미니스 바스타드 소드
ITEM_20150317_000169	Nach Medzio Diena hat die Familie Winterkelle allen Alchemisten die Anleitung für diese Waffe übergeben.	윈터스푼 가문은 식물재앙이란 초유의 사태를 맞아 모든 알케미스트에게 이검의 제조법을 공개했습니다. 
ITEM_20150317_000170	Erstlicht	프리마루체
ITEM_20150317_000171	Schwertkämpfer, denen bei einer Waffe die Macht am wichtigsten ist, wählen dieses Schwert häufig als erstes magisches Schwert.	자신의 첫 마법검으로 위력있는 무기를 원하는 검사들이 많이 선택하는 무기입니다.
ITEM_20150317_000172	Kindzal	킨드잘
ITEM_20150317_000173	Diejenigen, die gerne mit ihren Waffen experimentieren, fertigen dieses Schwert aus genau diesem Grund an.	자신의 무기를 길들이는 행위를 좋아하는 검사들은 이 검을 만들어 사용하기도 합니다.
ITEM_20150317_000174	Imperni-Zweihänder	임페르니 투 핸드 소드
ITEM_20150317_000175	Hast du dieses Schwert auf dem Schwarzmarkt kaufen können, beweist dies, dass man dich in gewissem Maße für vertrauenswürdig hält.	블랙마켓과의 거래에서 이 검을 얻었다면 어느 정도 신뢰를 얻었다는 증거로 볼 수 있습니다.
ITEM_20150317_000176	Schwert der Dämmerung	프리에블란다
ITEM_20150317_000177	Dieses Schwert wurde von derselben Person erschaffen, die auch das Schwert "Erstlicht" fertigte.	이 검의 제조법을 고안한 장인은 프리마루체의 제조자와 동일인입니다.
ITEM_20150317_000178	Steinkatzbalger	라피스 카츠발게르
ITEM_20150317_000179	Diese verbesserte Version des Katzbalgers wurde vor weniger als 100 Jahren entwickelt. Die Anleitung zur Herstellung dieser Waffe steht also in keinem Zusammenhang mit Ruklys.	카츠발게르를 강화하는 방법이 발견된 것은 100년도 안 됩니다. 고로 이 검의 제조법은 루클리스와는 무관합니다.
ITEM_20150317_000180	Zweihänder des Schmieds	스미스 투 핸드 소드
ITEM_20150317_000181	Seit Medzio Diena sorgen sich weniger Menschen wegen einer möglichen Instabilität magischer Waffen.	신수의 날 이후 마법무기의 안정성을 덜 고려하는 풍토가 늘었습니다. 
ITEM_20150317_000182	Klavis-Zweihänder	클라비스 투 핸드 소드
ITEM_20150317_000183	Dieses Schwert kannst du problemlos mit beiden Händen führen.	당신 양손의 듬직한 확장이 될 수 있습니다.
ITEM_20150317_000184	Trescher-Zweihänder	트레시 투 핸드 소드
ITEM_20150317_000185	Sestas-Zweihänder	세스타스 투 핸드 소드
ITEM_20150317_000186	Dratt-Zweihänder	드라트 투 핸드 소드
ITEM_20150317_000187	Aston-Zweihänder	아스턴 투 핸드 소드
ITEM_20150317_000188	Devi-Zweihänder	데비 투 핸드 소드
ITEM_20150317_000189	Prima-Zweihänder	프리마 투 핸드 소드
ITEM_20150317_000190	Flamini	플라미니
ITEM_20150317_000191	Dieses gute Schwert gehört schon lange zur Grundausstattung bei Kämpfen gegen Dämonen.	예전부터 마족을 상대하려는 용사들의 필수품으로 여겨지던 좋은 검입니다.
ITEM_20150317_000192	Zauberschlächter	위저드 슬레이어
ITEM_20150317_000193	Zauberkundige ohne viel Erfahrung denken sich bei dieser speziellen Waffe häufig nichts Besonderes. Jemand mit mehr Erfahrung hält sich jedoch von seiner unsichtbaren Macht fern.	마법사들은 이 검에 신경을 쓰지는 않습니다. 다만 전투 경험이 많은 마법사들은 확실한 주의를 기울입니다.
ITEM_20150317_000194	Zweihänder [Schlag]	양손검[타격]
ITEM_20150317_000195	Wie ein Dolch, der in der finstersten Phase der Nacht geworfen wird, versetzt Naktis dem Ziel einen unerwarteten Schlag.	심야의 어둠속에서 튀어 나온 한 자루 검처럼 나크티스는 의외의 타격을 가합니다. 
ITEM_20150317_000196	Axtschwert	루시두스
ITEM_20150317_000197	Obwohl viele diese Waffe eher als eine Axt für Holzfäller ansehen, wirst du schnell feststellen, dass es ohne sie während Medzio Diena deutlich mehr Verluste gegeben hätte.	나무 베는 도끼라고 비하하는 사람도 있지만, 사용자들은 이 검이 없었다면 식물재앙은 더 엄청난 피해를 가져왔을 것이라고 말합니다. 
ITEM_20150317_000198	Janusschwert	헬 엔드 헤븐
ITEM_20150317_000199	Ein Sprichwort behauptet, dass "Angriff die beste Verteidigung ist". Mit dieser Waffe kannst du es beweisen.	공격이 최선의 방어라는 경구가 있습니다. 당신이 이 검으로 그 사실을 증명하십시오.
ITEM_20150317_000200	Zahn des Todeswebers	데스위버 투스
ITEM_20150317_000201	Zweihänder des Schauermahrs	실제로 데스위버의 신체를 이용해 만들지는 않습니다.
ITEM_20150317_000202	Zweihänder des Schauermahrs	채퍼리션 투 핸드 소드
ITEM_20150317_000203	Manches Mal findest sich große Macht gerade im Unbegreiflichen. Manchmal können diejenigen ohne Körper die Schweren überwältigen.	실체가 없는 기원에서 나온 것이 때로는 큰 힘을 제공하기도 합니다. 부피가 없는 것에서 나온 것이 때로 큰 것을 제압합니다.
ITEM_20150317_000204	Nulis	눌리스
ITEM_20150317_000205	Verleiht große Macht gegenüber Wesen, die nicht den Reichen von Nacht und Tag angehören.	밤과 낮 어디에도 속하지 않는 존재들에게 강한 위력을 보입니다.
ITEM_20150317_000206	Takouba	그래비티
ITEM_20150317_000207	Niemand entgeht dem Takouba. Doch wer sich anpasst, beweist, dass er seine Macht nicht unterschätzt.	당신이 누구든 어디에 있든 중력을 피하기는 어렵습니다. 그러나 중력에 적응한다면 그 효력은 누구도 무시할 수 없습니다.
ITEM_20150317_000208	Primitiver Kurzstab	조악한 숏 로드
ITEM_20150317_000209	Stab [Schlag]	로드[타격]
ITEM_20150317_000210	Dieser Stab wird von allen Schülern der Magie verwendet.	마법을 배우는 자는 어떻게든 얻게 되는 장비입니다. 
ITEM_20150317_000211	Kurzstab	숏 로드
ITEM_20150317_000212	Für Magier, die ihre Ausbildung abgeschlossen haben, ist diese Waffe häufig die Waffe der Wahl.	마법사들이 입문기를 벗어나면 이런 장비로 교환합니다.
ITEM_20150317_000213	Einfacher Langstab	로우 롱 로드
ITEM_20150317_000214	Sind die Gegenstände, die ein Magier bei seiner Arbeit verwendet, geschmückt, so hat dieser Schmuck eine Funktion und dient nicht allein dem Aussehen.	마법사 장비에 더해지는 장식들은 단순한 치장 이상의 의미가 있습니다.
ITEM_20150317_000215	Einfacher Landstreicherstock	로우 케인 로버
ITEM_20150317_000216	Wenn ein berühmter Zauberer sich die Mühe macht, einen Stab von Hand zu schnitzen, wird er mit Sicherheit mystische Kräfte enthalten.	고명한 마법사가 정성들여 깎은 지팡이는 신비한 힘을 담기 마련입니다.
ITEM_20150317_000217	Zauberstock	케인
ITEM_20150317_000218	Solltest du die entsprechenden Materialien besitzen, kannst du diesen Stab weiter individuell anpassen.	직접 깎지 않은 지팡이도 장식을 추가해 자신에게 맞추는 방법이 있다고 합니다.
ITEM_20150317_000219	Krummstab	크룩
ITEM_20150317_000220	Gemäß verschiedener Legenden wurde diese Waffe ursprünglich von bösen Zauberkundigen verwendet.	전설에 따르면 처음에는 나쁜 심성의 마법사들이 사용했다고 합니다. 
ITEM_20150317_000221	Zinnstab	퓨터 로드
ITEM_20150317_000222	Besonders bei ehrgeizigen Nachwuchszauberern war diese Waffe einst sehr beliebt.	한때 야심있는 젊은 마법사들 사이에서 유행했던 장비입니다.
ITEM_20150317_000223	Eulenstab	아울 로드
ITEM_20150317_000224	Ein solcher Schmuck erfreut sich vor allem bei erfahrenen Zauberkundigen großer Beliebtheit	경력있는 마법사들이 좋아하는 장식이 달려있습니다.
ITEM_20150317_000225	Runenstab	룬 로드
ITEM_20150317_000226	Eine magische Rune verstärkt die Kraft des Stabes.	로드의 위력을 강화하기 위해 마법룬이 사용됩니다.
ITEM_20150317_000227	Kristallstab	크리스탈 로드
ITEM_20150317_000228	Für die Herstellung dieses Stabs muss das Juwel präzise an den Schaft angepasst werden.	마력을 담을 보석과 지팡이의 정확한 결합이 요구되는 장비입니다. 
ITEM_20150317_000229	Primitiver Zinnstab	조악한 퓨터 로드
ITEM_20150317_000230	Primitiver Eulenstab	조악한 아울 로드
ITEM_20150317_000231	Kurzstab des Soldaten	병사의 숏 로드
ITEM_20150317_000232	Magi, die der Armee beitraten, erhielten diesen Stab als Ausrüstung. Obwohl das seit Medzio Diena nicht mehr der Fall ist, sind immer noch viele dieser Waffen im Umlauf.	이미 마법사인 사람들이 군에 지원하면 지급되던 장비입니다. 식물재앙후에 절차는 없어졌어도 수량은 많이 남았습니다.
ITEM_20150317_000233	Langstab des Häuptlings	촌장의 롱 로드
ITEM_20150317_000234	Die Form dieses Stabes war in der Vergangenheit einmal sehr in Mode. Und auch wenn er altmodisch sein mag, funktioniert er noch recht gut.	예전에 유행하던 형태입니다. 구식이지만 성능이 나쁘지는 않습니다.
ITEM_20150317_000235	Primitiver Landstreicherstock	조악한 케인 로버
ITEM_20150317_000236	Kriegsstab	배틀 로드
ITEM_20150317_000237	Dieser Stab wurde nicht nur für den Kampf mit magischen Mitteln entwickelt, er kann auch im physischen Kampf eingesetzt werden.	마법에 대한 보조외에 다른 전투용으로 쓰일 수 있도록 만들어진 장비입니다.
ITEM_20150317_000238	Schwerer Kurzstab	헤비 숏 로드
ITEM_20150317_000239	Langstab	롱 로드
ITEM_20150317_000240	Schwerer Langstab	헤비 롱 로드
ITEM_20150317_000241	Landstreicherstock	케인 로버
ITEM_20150317_000242	Schwerer Zauberstock	헤비 케인
ITEM_20150317_000243	Schwerer Krummstab	헤비 크룩
ITEM_20150317_000244	Schwerer Zinnstab	헤비 퓨터 로드
ITEM_20150317_000245	Dunkelkrummstab	던켈 크룩
ITEM_20150317_000246	Dunkelkristallstab	던켈 크리스탈 로드
ITEM_20150317_000247	Dunkellangstab	던켈 롱 로드
