QUEST_UNUSED_20150317_000001	A ha, you're on your way to see Master Pardoner. I wish you luck.
QUEST_UNUSED_20150317_000026	I'm was Mashi Oh. You showed great faith. {nl} and I gave me also my great inspiration. {nl} This is do my little castle. By all means, please write in the correct thing.
QUEST_UNUSED_20150317_000027	Previous quiet here there is no time temporarily or quiet now monsters.
QUEST_UNUSED_20150317_000028	If you leave only my monster, it is to find and attack the soul that gather here.
QUEST_UNUSED_20150317_000029	People are now better Denis mood decreased even a little.
QUEST_UNUSED_20150317_000030	People has decided to let buried the remains of family here. {nl} now it has been left on the land for uncovering monster all.
QUEST_UNUSED_20150317_000031	Here is time that that was heard little by little sad cries of bereaved family was... the best of times.
QUEST_UNUSED_20150317_000032	Although relics you have not met yet is large, even look but I think that was good.
QUEST_UNUSED_20150317_000033	Image of other owl has come back soul must be India. {nl} that a problem has occurred in the vicinity of the barrier is clear.
QUEST_UNUSED_20150317_000034	What might, but I feel that we are only in something
QUEST_UNUSED_20150317_000035	It 's was Demon still. {nl} Here people the tranquility in had defiled.
QUEST_UNUSED_20150317_000036	Soul fled to the north might know the information about the person.
QUEST_UNUSED_20150317_000037	Lost Spirit
QUEST_UNUSED_20150317_000038	I you're alive. {nl} However, is never safe you.
QUEST_UNUSED_20150317_000039	Demon does not know what sniff, but ... my barrier, you need to open always.
QUEST_UNUSED_20150317_000040	I went to find an image of the owl at all of deeper. {nl} or we will help me be able to escape from here?
QUEST_UNUSED_20150317_000041	Monster we will chase it tries to absorb the soul. {nl} to do would steeped in evil forces getting caught caught in them.
QUEST_UNUSED_20150317_000042	Thank you very much! {nl} I can leave aiming this gap.
QUEST_UNUSED_20150317_000043	Regret many souls
QUEST_UNUSED_20150317_000044	I know. Soul went north before {nl} will not be able to get there. {nl} However, the length can go to the image of the other owl in the upper. {nl} for Sakmori our top of the hill, I do not Yes can go.
QUEST_UNUSED_20150317_000045	Monster Why chase us. {nl} It is painful. Also died ..
QUEST_UNUSED_20150317_000046	The word is it true? Nante clogged length of {nl}.
QUEST_UNUSED_20150317_000047	It is not ginger. {nl} once I let you know that the soul is where the opposite. {nl} There is one Proceeding north owl image. And try to go there.
QUEST_UNUSED_20150317_000048	I want to leave before that gather people again.
QUEST_UNUSED_20150317_000049	Sacred Owl Sculpture
QUEST_UNUSED_20150317_000050	I have been attacked following the de scan all vinegar was mutated from the other day. {nl} also my body that was made of wood If you leave this, you will be broken soon!
QUEST_UNUSED_20150317_000051	Yes not to want to create to wander me deposited obtained remains and soul again ...
QUEST_UNUSED_20150317_000052	It is unscrupulous people while small.
QUEST_UNUSED_20150317_000053	sad, but our image does not allow you to carry out the mission given now sculptor like. {nl} to be able to protect myself. {nl}
QUEST_UNUSED_20150317_000054	Soul responsible too many.
QUEST_UNUSED_20150317_000055	It is great!
QUEST_UNUSED_20150317_000056	Please proceed to the south. {nl} there will be a statue to go crack like me.
QUEST_UNUSED_20150317_000057	Gloomy Owl Sculpture
QUEST_UNUSED_20150317_000058	It is strange that living people come here. Do not look at the soul of {nl}, seems a few years have passed.
QUEST_UNUSED_20150317_000059	Thanks to you, the last few years you will be able to hold out.
QUEST_UNUSED_20150317_000060	monster you've witnessed is unreasonable of hollow vendor that drove into a corner us. {nl} in order to prevent the monsters, you will need to delete the empty owl. {nl} ne because herd of hollow vendor is using the trap. {nl} you need to make sure the image of the valley deep in the empty owl.
QUEST_UNUSED_20150317_000061	Soul will find the the owl. {nl} will cause bite into the empty owl. {nl} people soul knows very well the fact that get lost to find us
QUEST_UNUSED_20150317_000062	To that utilize a large number of image.
QUEST_UNUSED_20150317_000063	The soul who have been said, it was the place where the soul has been found our owl. The {nl} now, it would be filled with traps of hollow vendor unreasonable is installed. {nl} pitfalls of herd of hollow vendor will be the threat to anyone.
QUEST_UNUSED_20150317_000064	If soul you have lost the way, we will look for another soul. {nl} bright trap, I'm tempted so the soul.
QUEST_UNUSED_20150317_000065	I I have had a lot of pitfalls.
QUEST_UNUSED_20150317_000066	Hollow Venter is to such should be in the neighborhood of Yorusu~euru. {nl} It is strange.
QUEST_UNUSED_20150317_000067	Peripheral hollow vendors need to defeat a swarm of ants seems to display. {nl} If you do not come out, will must be drag.
QUEST_UNUSED_20150317_000068	Or Will the monster Where appeared?
QUEST_UNUSED_20150317_000069	If this does not come out. {nl} There is a idea.
QUEST_UNUSED_20150317_000070	Even this Nante does not come out a hollow Venter of key, there will be in the place where it was told to me always {nl}.
QUEST_UNUSED_20150317_000071	You will clearly represent the figure and you arrive.
QUEST_UNUSED_20150317_000072	This is the key .. barrier.
QUEST_UNUSED_20150317_000073	I open the front door with a key. {nl} there will be a soul of assistant who will lead the soul to the other side of the barrier. {nl} the soul might be able to help you.
QUEST_UNUSED_20150317_000074	Sometimes in the soul, there are those who serve and left to than receive India. The soul is such a category.
QUEST_UNUSED_20150317_000075	Guiding Spirit
QUEST_UNUSED_20150317_000076	Hello! {nl} Oh, I Are You to be folded alive.
QUEST_UNUSED_20150317_000077	I've already passed the time to receive India. However, I was not acquired absolutely. {nl} before you come, I is where you had to give up without a soul if unless assistance. {nl} Now go and please open the barrier. Please tell sure {nl} and toward the owl image here now and safety of!
QUEST_UNUSED_20150317_000078	Me? To my story, is often too circumstances ...
QUEST_UNUSED_20150317_000079	When getting rid of Demon, had its load is thought lost. {nl} I it was not. Thank you for opening the door.
QUEST_UNUSED_20150317_000080	Please listen to the advice in the soul of the assistant. {nl} get lost and need help to soul.
QUEST_UNUSED_20150317_000081	I troubled. The force is, also let's do if the Demon?
QUEST_UNUSED_20150317_000082	Oh, but I you say the soul. {nl} It has been lost in the place a high hill.
QUEST_UNUSED_20150317_000083	If visible, I will inform the direction of the machine. {nl} There dark slime a lot on the road in the visible. {nl} will clearly be a major threat to you.
QUEST_UNUSED_20150317_000084	Thing is for sure, it is never that it is not until the group. {nl} However, I looks very confusing.
QUEST_UNUSED_20150317_000085	Unknown Spirit
QUEST_UNUSED_20150317_000086	We owl was waiting for you. {nl} welcome.
QUEST_UNUSED_20150317_000087	So has around there or black. {nl} sculptor like is looking at this forest, How sad conviction.
QUEST_UNUSED_20150317_000088	It is also is a sore chest look only remains that are scattered in front of it.
QUEST_UNUSED_20150317_000089	Red Puragiga are threatening us. Please see that you walk around there {nl}.
QUEST_UNUSED_20150317_000090	And between which there is a black Sakmori .. you will not be able to pass through. {nl} is full of black Sakmori on top of the hill.
QUEST_UNUSED_20150317_000091	How to protect I was thinking. And but's ear {nl} Fisherman swallowed soul, DP will be felt. {nl} If Fisherman visited swallowed DP.
QUEST_UNUSED_20150317_000092	Ich warte auf die Eulenskulptur.
QUEST_UNUSED_20150317_000093	Der schweigende Wald (1)
QUEST_UNUSED_20150317_000094	Ich werde die Schwarzzigri beseitigen!
QUEST_UNUSED_20150317_000095	Der schweigende Wald (2)
QUEST_UNUSED_20150317_000096	Ankündigung/ Du hast die Seelenüberreste zur schwachen Eulenskulptur gebracht.
QUEST_UNUSED_20150317_000097	Der schweigende Wald (3)
QUEST_UNUSED_20150317_000098	Wir schlagen vor, die Barriere zu bestätigen.
QUEST_UNUSED_20150317_000099	Der schweigende Wald (4)
QUEST_UNUSED_20150317_000100	Versuch, die Seele zu finden.
QUEST_UNUSED_20150317_000101	Spirituelles Gift (1)
QUEST_UNUSED_20150317_000102	Ich beseitige die Puragi!
QUEST_UNUSED_20150317_000103	Spirituelles Gift (2)
QUEST_UNUSED_20150317_000104	Ich beseitige die Schwarzsakmoli!
QUEST_UNUSED_20150317_000105	Spirituelles Gift (3)
QUEST_UNUSED_20150317_000106	Versuche, die Eulenskulptur zu überprüfen.
QUEST_UNUSED_20150317_000107	Spirituelles Gift (4)
QUEST_UNUSED_20150317_000108	Überprüfe /MAKING/2.5/TRACK_BEFORE/None
QUEST_UNUSED_20150317_000109	Bitte um Hilfe der Eulenskulptur
QUEST_UNUSED_20150317_000110	Ich beseitige den Desmodus!
QUEST_UNUSED_20150317_000111	Der Dämon im Wald (1)
QUEST_UNUSED_20150317_000112	Wir schlagen vor zu helfen.
QUEST_UNUSED_20150317_000113	Der Dämon im Wald (2)
QUEST_UNUSED_20150317_000114	Wir schlagen vor, zur Eulenskulptur zu gehen.
QUEST_UNUSED_20150317_000115	Seelenjäger (1)
QUEST_UNUSED_20150317_000116	Wir schlagen vor, die Eulenskulptur zu bestätigen.
QUEST_UNUSED_20150317_000117	Seelenjäger (2)
QUEST_UNUSED_20150317_000118	Wir schlagen vor, dass du die Falle entfernst.
QUEST_UNUSED_20150317_000119	Seelenjäger (3)
QUEST_UNUSED_20150317_000120	Ich beseitige die Finsterlinge!
QUEST_UNUSED_20150317_000121	Seelenjäger (4)
QUEST_UNUSED_20150317_000122	Ich beseitige den Finsterling!
QUEST_UNUSED_20150317_000123	Überwindung der Barriere (1)
QUEST_UNUSED_20150317_000124	Überwindung der Barriere (2)
QUEST_UNUSED_20150317_000125	Ich bin bereit, über die Seele in der Eulenskulptur zu reden.
QUEST_UNUSED_20150317_000126	Die wandernde Seele (1)
QUEST_UNUSED_20150317_000127	Die wandernde Seele (2)
QUEST_UNUSED_20150317_000128	Ich beseitige den Schattenschleim!
QUEST_UNUSED_20150317_000129	Die wandernde Seele (3)
QUEST_UNUSED_20150317_000130	Angriff der Beißerkönigin
QUEST_UNUSED_20150317_000131	Angriff des Werwolfs
QUEST_UNUSED_20150317_000132	Notice /! / Besiege den Werwolf!
QUEST_UNUSED_20150317_000133	Dämonenfürst, der den Magierturm besetzt hat
QUEST_UNUSED_20150317_000134	Gnade des Reichtums [Ablasshändler-Aufstieg] (4)
QUEST_UNUSED_20150317_000135	Hinter geschlossenen Türen
QUEST_UNUSED_20150317_000136	Ich nehme die Wette an.
QUEST_UNUSED_20150317_000137	Ich werde mich der Prüfung stellen.
QUEST_UNUSED_20150317_000138	Positiv neugierig
QUEST_UNUSED_20150317_000139	Ich werde es tun.
QUEST_UNUSED_20150317_000140	Ich interagiere mit der schwachen Eulenskulptur.
QUEST_UNUSED_20150317_000141	Den Obersten Greifpass betreten
QUEST_UNUSED_20150317_000142	Zum Obersten Greifpass gehen
QUEST_UNUSED_20150317_000143	Schwarzzigri besiegen
QUEST_UNUSED_20150317_000144	Ich besiege die Schwarzzigri.
QUEST_UNUSED_20150317_000145	Die gefundenen Überreste
QUEST_UNUSED_20150317_000146	Sammle die Urnenkisten ein, die am Eingang des Obersten Greifpasses verstreut sind.
QUEST_UNUSED_20150317_000147	Die Seele der Barriere überprüfen
QUEST_UNUSED_20150317_000148	Komm zurück, um die Seele der Barriere zu überprüfen.
QUEST_UNUSED_20150317_000149	Verlorene Seelen und Unterhaltung
QUEST_UNUSED_20150317_000150	Klettere nördlich an der Straße entlang, um mit den verlorenen Seelen zu sprechen.
QUEST_UNUSED_20150317_000151	Ich werde mit den verlorenen Seelen sprechen.
QUEST_UNUSED_20150317_000152	Rote Plastikmaschine besiegen
QUEST_UNUSED_20150317_000153	Ich werde die rote Plastikmaschine besiegen.
QUEST_UNUSED_20150317_000154	Viele Seelen und Unterhaltung bereuen
QUEST_UNUSED_20150317_000155	Ich werde mit vielen reuigen Seelen sprechen.
QUEST_UNUSED_20150317_000156	Schwarzsakmoli besiegen
QUEST_UNUSED_20150317_000157	Ich besiege die Schwarzsakmoli.
QUEST_UNUSED_20150317_000158	Schwarzsakmoli besiegen
QUEST_UNUSED_20150317_000159	Die Eulenskulptur überprüfen
QUEST_UNUSED_20150317_000160	Ich überprüfe die Eulenskulptur.
QUEST_UNUSED_20150317_000161	Besiege die herbeieilenden Monster.
QUEST_UNUSED_20150317_000162	Ich besiege die herbeieilenden Monster.
QUEST_UNUSED_20150317_000163	Mit der heiligen Eulenskulptur sprechen
QUEST_UNUSED_20150317_000164	Ich spreche mit der heiligen Eulenskulptur.
QUEST_UNUSED_20150317_000165	Desmodus besiegen
QUEST_UNUSED_20150317_000166	Ich werde Desmodus besiegen.
QUEST_UNUSED_20150317_000167	Fischer und teilweise Wiederherstellung von DP
QUEST_UNUSED_20150317_000168	Fischer, teilweise Wiederherstellung von DP
QUEST_UNUSED_20150317_000169	Rotfischer besiegen
QUEST_UNUSED_20150317_000170	Mit der traurigen Eulenskulptur sprechen
QUEST_UNUSED_20150317_000171	Ich interagiere mit der traurigen Eulenskulptur.
QUEST_UNUSED_20150317_000172	Die leere Eulenskulptur überprüfen
QUEST_UNUSED_20150317_000173	Ich überprüfe die leere Eulenskulptur.
QUEST_UNUSED_20150317_000174	Fallgruben löschen Seele
QUEST_UNUSED_20150317_000175	Du kannst löschen, indem du nach den Fallgruben der Seele suchst.
QUEST_UNUSED_20150317_000176	Die Untergebenen von Nekroventer besiegen
QUEST_UNUSED_20150317_000177	Ich werde die Untergebenen von Nekroventer besiegen.
QUEST_UNUSED_20150317_000178	Untergebenen des Seelenjägers besiegen
QUEST_UNUSED_20150317_000179	Finsterling, Hüter des Schlüssels, besiegen
QUEST_UNUSED_20150317_000180	Ich erhalte den Schlüssel, um den Finsterling, der den Schlüssel hütet, zu besiegen.
QUEST_UNUSED_20150317_000181	Hüter des Schlüssels
QUEST_UNUSED_20150317_000182	Untergebene des Finsterlings
QUEST_UNUSED_20150317_000183	Seele und Unterhaltung des Assistenten
QUEST_UNUSED_20150317_000184	Ich spreche mit der Seele des Assistenten.
QUEST_UNUSED_20150317_000185	Ich besiege die angreifenden Monster.
QUEST_UNUSED_20150317_000186	Ich habe das angreifende Monster besiegt.
QUEST_UNUSED_20150317_000187	Überreste des Nekroventers eliminieren
QUEST_UNUSED_20150317_000188	Schwarzschleim eliminieren
QUEST_UNUSED_20150317_000189	Ich werde den Schwarzschleim besiegen.
QUEST_UNUSED_20150317_000190	Den verdächtigen Ort überprüfen
QUEST_UNUSED_20150317_000191	Ich bestätige den verdächtigen Ort.
QUEST_UNUSED_20150317_000192	Das Gebiet während des Zeitlimits verteidigen
QUEST_UNUSED_20150317_000193	Ich werde die Monsterangriffe während des Zeitlimits überleben.
QUEST_UNUSED_20150317_000194	Eine Unterhaltung mit einer unbekannten Seele
QUEST_UNUSED_20150317_000195	Ich werde mit der unbekannten Seele sprechen.
QUEST_UNUSED_20150317_000196	Die Monster besiegen, die die Straße versperren
QUEST_UNUSED_20150317_000197	Die Beißerkönigin besiegen
QUEST_UNUSED_20150317_000198	Die Beißerkönigin besiegen
QUEST_UNUSED_20150317_000199	Ein Werwolf ist erschienen.
QUEST_UNUSED_20150317_000200	Den erschienen Werwolf besiegen
QUEST_UNUSED_20150317_000201	Werwolf besiegen
QUEST_UNUSED_20150317_000202	Hamming besiegen
QUEST_UNUSED_20150317_000203	Den Dämonenfürsten finden, der den Magierturm besetzt hat
QUEST_UNUSED_20150317_000204	Finde den Dämonenfürsten Helgazerkel, der den Magierturm besetzt hat.
QUEST_UNUSED_20150317_000205	Mit dem Gegenstandshändler in Fedimian sprechen
QUEST_UNUSED_20150317_000206	Mit dem plötzlich erschienen Schwertkämpfermeister sprechen
QUEST_UNUSED_20150317_000207	Du bemerkst den Schwertkämpfermeister vor dir. Rede mit ihm.
QUEST_UNUSED_20150317_000208	Versteckte Quest
QUEST_UNUSED_20150317_000209	Es gibt eine versteckte Quest. Besiege die Todesfee hinter den geschlossenen Türen von Katyn.
QUEST_UNUSED_20150317_000210	Du hast den Test des Schwertkämpfermeisters abgeschlossen. Finde den Schwertkämpfermeister in Klaipeda.
QUEST_UNUSED_20150317_000211	Todesfee besiegen
QUEST_UNUSED_20150317_000212	Mit der plötzlich erschienen Zauberkundigenmeisterin sprechen
QUEST_UNUSED_20150317_000213	Du bemerkst die Zauberkundigenmeisterin vor dir. Sprich mit ihr. {nl}
QUEST_UNUSED_20150317_000214	Zauberkundigenmeisterin finden
QUEST_UNUSED_20150317_000215	Du hast den Test der Zauberkundigenmeisterin abgeschlossen. Finde die Zauberkundigenmeisterin in Klaipeda.
QUEST_UNUSED_20150317_000216	Der Bogenschützenmeister ist plötzlich erschienen.
QUEST_UNUSED_20150317_000217	Du bemerkst den Bogenschützenmeister vor dir. Rede mit ihm.
QUEST_UNUSED_20150317_000218	Es gibt eine versteckte Quest. Die Todesfee hinter den geschlossenen Türen von Katyn besiegen
QUEST_UNUSED_20150317_000219	Du hast den Test des Bogenschützenmeisters abgeschlossen. Finde den Bogenschützenmeister in Klaipeda.
QUEST_UNUSED_20150317_000220	Die Klerikermeisterin ist plötzlich erschienen.
QUEST_UNUSED_20150317_000221	Du bemerkst die Klerikermeisterin vor dir. Rede mit ihr.
QUEST_UNUSED_20150317_000222	Du hast den Test der Klerikermeisterin abgeschlossen. Finde die Klerikermeisterin in Klaipeda.
QUEST_UNUSED_20150317_000223	Die Torwächtereulenskulptur ist froh, dich zu sehen. Sprich mit der Torwächtereulenskulptur.
QUEST_UNUSED_20150317_000224	Zu finden bei der Marmorskulptur in der Kathedrale
QUEST_UNUSED_20150317_000225	Sprich mit der Torwächtereulenskulptur und gib sie dem Bildhauer Tesla. Besorge eine Marmorskulptur aus der Kathedrale der Monster.
QUEST_UNUSED_20150317_000226	Du hast die Marmorskulptur Bildhauer Tesla gebracht.
QUEST_UNUSED_20150317_000227	Du hast genug Marmorstücke gesammelt. Bringe sie Bildhauer Tesla im Rhombuspflastertal.
QUEST_UNUSED_20150323_000228	Zur Kulekuppe gehen
QUEST_UNUSED_20150323_000229	Dich zur Kulekuppe begeben
QUEST_UNUSED_20150323_000230	Sammle die restlichen Kisten, die auf der Kulekuppe verteilt sind.
QUEST_UNUSED_20150323_000231	Du hast genug Marmorstücke gesammelt. Bring die Marmorstücke zu Bildhauer Tesla im Vieta-Tal.
QUEST_UNUSED_20150714_000232	Please get rid of the monsters around here.{nl}I've heard that the monsters turned violent at Rodoma, 1st historic site.
QUEST_UNUSED_20150714_000233	Anyways, good.{nl}I need the essences of the spirits which the dead spirits that are roaming around the grave of the unknown soldier have.{nl}You can take whatever means to obtain them.
QUEST_UNUSED_20150714_000234	But, what I want is the pure spirit.{nl}I want you to put the two soul stones into the sacred box and purify them.
QUEST_UNUSED_20150714_000235	The gold plate which you found for me just a while ago.. I think there are more parts besides it.{nl}They are all the gold plates that I've found so I don't have any other plates.{nl}
QUEST_UNUSED_20150714_000236	Ah, there is one other place that we haven't searched yet. Folsas Highway.{nl}Can you go there for me?
QUEST_UNUSED_20150714_000237	Is everything going alright?{nl}Maybe, I haven't thought deeply enough.
QUEST_UNUSED_20150714_000238	These are reseach materials. Tell Cryomancer Master that you are handing over these on behalf of Gitis.
QUEST_UNUSED_20150714_000239	There is a gigantic monster that controls those wood goblins.
QUEST_UNUSED_20150714_000240	You may encounter the Giant Wood Goblin at Laukyme Swampy Place.{nl}If so, please defeat it.
QUEST_UNUSED_20150714_000241	It is very strong. Be careful.
QUEST_UNUSED_20150714_000242	If you face it, I hope you are with other people.
QUEST_UNUSED_20150714_000243	I didn't expect that you would defeat it..{nl}You are much stronger than I expected. I am surprised.{nl}If I am with you, regaining the control of the monastery won't be that hard.
QUEST_UNUSED_20150714_000244	Verteilen
QUEST_UNUSED_20150714_000245	Anzünden
QUEST_UNUSED_20150714_000246	Notice/Du hast die Seelenreste der schwachen Eulenskulptur gebracht.
QUEST_UNUSED_20150714_000247	Schlüssel vorbereiten
QUEST_UNUSED_20150714_000248	Köder platzieren
QUEST_UNUSED_20150714_000249	Das Unkrautvernichtungsmittel verwenden
QUEST_UNUSED_20150714_000250	Notice/Zerstöre die Vorratskisten und jage die Vubbes, die weggelaufen sind!#10
QUEST_UNUSED_20150714_000251	Notice/Jage die Vubbes, die weggelaufen sind!#8
QUEST_UNUSED_20150714_000252	Notice/Begib dich zum nächsten Bereich.#5
QUEST_UNUSED_20150714_000253	Notice/!/Besiege den Lepus, der den Weg versperrt!#8
QUEST_UNUSED_20150714_000254	Notice/!/Du hast den Lepus besiegt, der den Weg versperrt hat!#8
QUEST_UNUSED_20150714_000255	Verbrennen
QUEST_UNUSED_20150714_000256	Ich kann es nicht lesen, wenn ich es nicht sehen kann.
QUEST_UNUSED_20150714_000257	Weg mit den Blindgängern (1)
QUEST_UNUSED_20150714_000258	Was muss ich tun?
QUEST_UNUSED_20150714_000259	Mach du es selbst.
QUEST_UNUSED_20150714_000260	Weg mit den Blindgängern (2)
QUEST_UNUSED_20150714_000261	Ich kümmere mich um die Blindgänger.
QUEST_UNUSED_20150714_000262	Bis zum letzten
QUEST_UNUSED_20150714_000263	Ich werde mein Bestes geben
QUEST_UNUSED_20150714_000264	Er ist mir zu viel.
QUEST_UNUSED_20150714_000265	Weg mit den Blindgängern (3)
QUEST_UNUSED_20150714_000266	Du hast beim Erkunden der Umgebung des Außenpostens einen Blindgänger gefunden. Frag den Pioniermeister, was du mit Blindgängern machen sollst.
QUEST_UNUSED_20150714_000267	Der Pioniermeister erklärt, was du mit den Blindgängern machen sollst. Sprich mit dem Pioniermeister.
QUEST_UNUSED_20150714_000268	Die Blindgänger deaktivieren
QUEST_UNUSED_20150714_000269	Birg die Blindgänger mit den Werkzeugen zur Bombenentschärfung, wie der Pioniermeister es dir aufgetragen hat.
QUEST_UNUSED_20150714_000270	Bringe die Blindgänger zum Pioniermeister.
QUEST_UNUSED_20150714_000271	Jeffrey scheint noch mehr zu tun zu haben. Sprich mit ihm.
QUEST_UNUSED_20150714_000272	Den Riesen-Holzkobold besiegen
QUEST_UNUSED_20150714_000273	Jeffrey hat dich gebeten, den Riesen-Holzkobold zu besiegen, der andere Holzkobolde herumkommandiert.
QUEST_UNUSED_20150714_000274	Du hast den Riesen-Holzkobold besiegt. Erzähle Jeffrey davon.
QUEST_UNUSED_20150717_000275	Kupole Meile
QUEST_UNUSED_20150717_000276	Svitrigaila
QUEST_UNUSED_20150717_000277	Dem Versteinernden Frost ausweichen
QUEST_UNUSED_20150717_000278	Was wohl in der Kiste drin ist …?
QUEST_UNUSED_20150717_000279	Das Siegel mit dem Monster
QUEST_UNUSED_20150717_000280	Ich besorge es für dich.
QUEST_UNUSED_20150717_000281	Es interessiert mich nicht wirklich.
QUEST_UNUSED_20150717_000282	Den Versteinerungsdetektor überprüfen
QUEST_UNUSED_20150717_000283	Überprüfe den Versteinerungsdetektor am Eingang der Küstenfestung.
QUEST_UNUSED_20150717_000284	Dem Versteinernden Frost ausweichen
QUEST_UNUSED_20150717_000285	Auf dem Weg zum Detektor ist plötzlich etwas von hinten erschienen! Es sieht wie der Versteinernde Frost aus! Weiche dem Versteinernden Frost aus und bring dich in Sicherheit!
QUEST_UNUSED_20150717_000286	Die Schatztruhe öffnen
QUEST_UNUSED_20150717_000287	Die Schatztruhe in der Küstenfestung wirkt verdächtig. Nähere dich ihr und öffne sie.
QUEST_UNUSED_20150717_000288	Den Versteinernden Frost vermeiden und die Monster besiegen
QUEST_UNUSED_20150717_000289	Als du die Truhe geöffnet hast, erschien ein schwacher Versteinernden Frost und die Monster in der Nähe griffen an! Gehe dem Frost aus dem Weg und besiege alle Monster.
QUEST_UNUSED_20150717_000290	Mit Wilhelmina Karrit sprechen
QUEST_UNUSED_20150717_000291	Ruklys' Armeesiegel und Pergamente besorgen
QUEST_UNUSED_20150717_000292	Sammle in der Landesfestung nützliche Informationen.
QUEST_UNUSED_20150729_000293	That was close. My name is Kupole Meile.{nl}I came to guide the petrified souls in this place.{nl}But I'm afraid more Petrifying Frost like the one from before will suddenly appear, so I haven't been able to move much.
QUEST_UNUSED_20150729_000294	{nl}There are Petrification Detectors, but it seems some of them aren't working...{nl}Will you inspect the detectors for me?
QUEST_UNUSED_20150729_000295	A long time ago demons and goddesses kept their powers to themselves.{nl}They kept from interfering in each other's areas.{nl}Then one day the demons casted this petrification curse.
QUEST_UNUSED_20150729_000296	Petrification detectors were installed throughout the area.{nl}The first one you saw earlier seems to be working, but you should have a look at the others.
QUEST_UNUSED_20150729_000297	If only all the detectors were working...
QUEST_UNUSED_20150729_000298	Oh, I see.{nl}So two of them aren't working.
QUEST_UNUSED_20150729_000299	Problems with the detectors are best reported to the Royal Army.{nl}They're the ones who installed them.{nl}Royal Army Officer Retia should be able to help, I think.
QUEST_UNUSED_20150729_000300	After the demons cast the petrification curse on this land... the goddesses did try to save us.{nl}But the demons were furious about them interfering with their work and left for another region...
QUEST_UNUSED_20150729_000301	{nl}The disaster they caused was unimaginable...{nl}It was so bad it forced the goddesses to give up on saving this petrified land...
QUEST_UNUSED_20150729_000302	Retia is at Verkti Square.{nl}Hm? You already knew?
QUEST_UNUSED_20150729_000303	The Petrification Detectors at the Coastal Fortress aren't working.{nl}I'm aware of that. They were broken.
QUEST_UNUSED_20150729_000304	Isn't someone there, though? I sent some backup to fix the broken detectors.{nl}It's been a while since they left, too... I wonder what happened...
QUEST_UNUSED_20150729_000305	{nl}Will you look for them?
