QUEST_LV_0200_20150317_000001	Philipas' Soldier
QUEST_LV_0200_20150317_000119	About the bark of a tree that the Vubbe got.{nl}I think I can combine it using something like a spirit..{nl}Well, Please tell this news to Ukirt.
QUEST_LV_0200_20150317_000120	Joint Investigation Unit Member Ukirt
QUEST_LV_0200_20150317_000121	Scott and Frey did a good job. What do you think of it?{nl}I don't think so that Vubbe can't create themself.{nl}I will have to check what they do using this.{nl}
QUEST_LV_0200_20150317_000122	There may be something inside the supply boxes that the soldiers left a long time ago.{nl}You will find some old supply boxes up there.{nl}Can you go there and check? If we obtain some clues there, we may get an answer.
QUEST_LV_0200_20150317_000123	If you go back the way you just came, you will see an observatory tower on the hills.{nl}I hope the monsters haven't touch it yet..
QUEST_LV_0200_20150317_000124	Are they really planning something?{nl}Something.. is suspicious..
QUEST_LV_0200_20150317_000125	The Vubbes broke the supply boxes and ran away with this?{nl}Why? Were they really making it?{nl}No way, they aren't smart enough to do that.{nl}
QUEST_LV_0200_20150317_000126	Good! We should pay attention and solve the problem!
QUEST_LV_0200_20150317_000127	Okay. Are you ready?{nl}
QUEST_LV_0200_20150317_000128	Before you came, I saw Vubbes moving in groups.{nl}Go to Gebene Cliffs and see how the situation is.
QUEST_LV_0200_20150317_000129	The Vubbes were always involved with anything that happened here.{nl}It can't be just a coincidence..
QUEST_LV_0200_20150317_000130	I think.. I understand now. {nl}I think that was like a big factory creating huge monsters called Woodspirits.{nl}
QUEST_LV_0200_20150317_000131	The flag of Vubbes must have called in the ghosts.{nl}Then they polluted the trees and created huge monsters.{nl}
QUEST_LV_0200_20150317_000132	That tree barks must have been the ingredients for making Woodspirits.{nl}There's no way those Vubbes could do it alone.{nl}They must have received an order from somebody!
QUEST_LV_0200_20150317_000133	We may find some decisive evidence at the place where the Vubbes are grouped together.{nl}If Prey sees this, it will like it!
QUEST_LV_0200_20150317_000134	Vubbes are not very smart so he must have made only simple orders.{nl}How could he think about controlling those Vubbes..{nl}I don't know what to say. {nl}
QUEST_LV_0200_20150317_000135	I am sure that Woodspirits are created from various places.{nl}I can sense vicious energies coming. {nl}We should first destroy the flags that are creating Woodspirits!
QUEST_LV_0200_20150317_000136	Leave as soon as you are ready. {nl}The best course of action for now is to stop the creation of Woodspirits..
QUEST_LV_0200_20150317_000137	I think we've done our best for now. {nl}Since we can't do anything about the ones that were already created.
QUEST_LV_0200_20150317_000138	I can feel the closest flag from here is near Gatves Highway.{nl}The huge trees that people saw is probably Woodspirits.{nl}How could I miss this simple thing.
QUEST_LV_0200_20150317_000139	Earnest Owl Chief Sculpture
QUEST_LV_0200_20150317_000140	Thank you so much. {nl}The other owls must have gained confidence because of you.
QUEST_LV_0200_20150317_000141	Weak Owl Sculpture
QUEST_LV_0200_20150317_000142	It really was too late..{nl}The goddess really can be harsh sometimes..
QUEST_LV_0200_20150317_000143	I have one last request. {nl}Can you burn the Owls so they could rest in peace?
QUEST_LV_0200_20150317_000144	Do you think my allies can reach Goddess Ausrine safely?
QUEST_LV_0200_20150317_000145	Thank you so much. {nl}First bring me the Oil from Oil Boxes on the way to Neuoder Field.
QUEST_LV_0200_20150317_000146	If you are okay with it, I'd like to get some more help from you.{nl}I've sent a messenger, but due to the last attack, I am now worried about him.{nl}
QUEST_LV_0200_20150317_000147	That messenger should be safe... but I still worry for him.
QUEST_LV_0200_20150317_000148	Thank you so much.{nl}He must be there by now.
QUEST_LV_0200_20150317_000149	The squad was dispatched to recover Kateen Forest from the monsters.{nl}The entrance here to Kateen Forest is safe compared to other areas. The other areas are yet to be recovered.{nl}
QUEST_LV_0200_20150317_000150	As you go deeper inside, there are a number of soldiers along the way lacking in supplies.{nl}If a well known person like you can help them, it will be a great help.{nl}
QUEST_LV_0200_20150317_000151	Fallen Messenger
QUEST_LV_0200_20150317_000152	This is my fault, for assuming the entrance to Kateen Forest was secure.{nl}I will go back to the camp after taking a short rest.
QUEST_LV_0200_20150317_000153	Ah, this is my bag.. thank you for saving me.{nl}
QUEST_LV_0200_20150317_000154	Only you can help me right now.{nl}Can you tell Felix that the operation at Peledos Crossroads has already started?{nl}{nl}
QUEST_LV_0200_20150317_000155	There are many strange things that can't be seen in forests other than Kateen Forest.{nl}Such as the wooden owl sculptures.
QUEST_LV_0200_20150317_000156	The operation? Oh, what an ignorant messenger.{nl}I can get that from the camp... Thanks anyway.{nl}
QUEST_LV_0200_20150317_000157	Oh, the way back is dark, so it would be appreciated if you could light up the bonfire again.
QUEST_LV_0200_20150317_000158	You can't see much sunlight in Kateen Forest due to the enormous amount of trees.{nl}It seems like ghosts could come out at any moment.
QUEST_LV_0200_20150317_000159	Okay, so the messenger is safe?{nl}This place has been well taken care of thanks to your efforts.
QUEST_LV_0200_20150317_000160	I shall take some rest here.{nl}Is there a good place to hide?
QUEST_LV_0200_20150317_000161	For letting Saltistter come in this far behind our lines, I should scold the person in charge of guarding this place.{nl}Thanks anyways. You sure live up to your reputation.{nl}
QUEST_LV_0200_20150317_000162	Guard Lyle
QUEST_LV_0200_20150317_000163	I lost many colleagues through the Petrifying Frost.{nl}I don't understand why I am here to support a newbie Chronomancer... so inefficient.{nl}On top of that, we don't know when those violent monsters would attack here.
QUEST_LV_0200_20150317_000164	If you are okay, can you get rid of the monsters while we are protecting here?
QUEST_LV_0200_20150317_000165	It is very unfortunate that we should take care of that woman this time.
QUEST_LV_0200_20150317_000166	Thanks. We can stay safe here for some time.
QUEST_LV_0200_20150317_000167	 A few weeks ago, our comrades were attacked while sleeping by Petrifying Frost.{nl}After the world turned out like this, we haven't gotten much support and have to wait here.{nl}The monsters are attaking the petrified victims at the moment. May the curse lay upon those monsters!
QUEST_LV_0200_20150317_000168	If there are comrades out there who still remain in stones, can you stay near them and protect them for a while?
QUEST_LV_0200_20150317_000169	My old friend, Galen is one of the victims.{nl}Please protect him.
QUEST_LV_0200_20150317_000170	Thank you so much. I hope the reinforcement comes soon so he could return to his family even if he is petrified.
QUEST_LV_0200_20150317_000171	There are many cursed documents and uncleaned objects on Ruklys Street.{nl}There are also many thieves who are after those.{nl}And among them, Dico Thieves frequently attack the guards.
QUEST_LV_0200_20150317_000172	Can you defeat them at the military district?{nl}If you could defeat them, we will go and capture them.
QUEST_LV_0200_20150317_000173	The one who was caught last time told us that the stone statues were talking to him.{nl}Do you think that makes sense?
QUEST_LV_0200_20150317_000174	I was able to arrest lots of thieves because of your help.{nl}Thank you.
QUEST_LV_0200_20150317_000175	Guard Nomabis
QUEST_LV_0200_20150317_000176	A few days ago, we lost our supplies to Dico Thieves.{nl}They must have taken them to Drasos Chapel Ruins, but since I can't leave this place, I guess we're all gonna die.
QUEST_LV_0200_20150317_000177	Can you retrieve the lost supplies?
QUEST_LV_0200_20150317_000178	A few decades ago, the thieves attacked the guard camp and stole the supplies secretly.
QUEST_LV_0200_20150317_000179	They lured us in front of them and stole the objects from behind so there was no way we could prevent them from stealing.{nl}They wanted to take the objects legally so they were sent to gallows.
QUEST_LV_0200_20150317_000180	The number of Dico Thieves is growing.{nl}They are very close to monsters. I don't know if they train those monsters or if there is something that I don't know yet.{nl}I heard the Knights of Kaliss was attacked by them.{nl}Maybe they are going after Sabina. She carries only expensive stuff.
QUEST_LV_0200_20150317_000181	To avoid any kind of danger, we should first attack before they move.{nl}Go to Drasos Chapel Ruins and defeat them.
QUEST_LV_0200_20150317_000182	The city that collapsed hundreds of years ago does not have any assets or lives to protect.{nl}It rather feels like protecting ruins. There are thieves as well.
QUEST_LV_0200_20150317_000183	You taught them a lesson. Well done.
QUEST_LV_0200_20150317_000184	A few weeks ago, the colleagues who used to work here received damage by Petrifying Frost and became stone statues at the square. {nl}The reason why the colleagues received damage was because they were engaged in eliminating traps that the thieves had set, but could not avoid them.{nl}There are still many traps around. We recently found one of them. Can you get rid of it?
QUEST_LV_0200_20150317_000185	The number of Dico Thieves may be more than the number of guards.
QUEST_LV_0200_20150317_000186	You caught monsters outside the thieves' area. I am sorry that you had to go through such a dangerous job.
QUEST_LV_0200_20150317_000187	Chronomancer Sabina
QUEST_LV_0200_20150317_000188	Lots of things happened here, but since they occurred long time ago, we need more information in order to find out the truth.{nl}Can you find the records from the Gate Route that was fallen down and make copies of them?
QUEST_LV_0200_20150317_000189	Everything is being destroyed as time passes by.
QUEST_LV_0200_20150317_000190	Thank you. This is about the collapse of the fortress.{nl}I should look more into it to find more decisive information.
QUEST_LV_0200_20150317_000191	I am doing many investigations here, but I am having a hard time discovering an incident that occurred more in the past due to those monsters.{nl}Can you go and look into the past on behalf of me?
QUEST_LV_0200_20150317_000192	Use the magnifying glass of time near Pergale Highway. You should be able to see the past.
QUEST_LV_0200_20150317_000193	Please use it with extreme care. This is the only one left.
QUEST_LV_0200_20150317_000194	What the hell happened? Do not say anything about what you've seen here outside.
QUEST_LV_0200_20150317_000195	To understand better about the circumstances, we have no way but to go to the Fortress of the Land which is the headquarter of Ruklys.{nl}But, we can't enter since the Royal Army guards are limiting the entrance.{nl}I have a good solution though..
QUEST_LV_0200_20150317_000196	The portal that was used by the remnants when they tried to run away from the Fortress of the Land.{nl}There are total ten of them according to the record.{nl}Four of them are here. Can you check if they are still activated?
QUEST_LV_0200_20150317_000197	Because of our plan, we may be sent to the gallows.{nl}Please keep it a secret.
QUEST_LV_0200_20150317_000198	The portal at the military district is our only hope.
QUEST_LV_0200_20150317_000199	Hunter Talus
QUEST_LV_0200_20150317_000200	I am looking for a few artifacts of Lydia Schaffen, who built the Astral Tower.{nl}The famous archer who planted an arrow into Ruklys' chest.
QUEST_LV_0200_20150317_000201	Royal Army Guard Retia
QUEST_LV_0200_20150317_000202	Because of the Petrifying Frost that were created due to Ruklys' rebellion a few hundreds years ago, the land turned into a wasteland.
QUEST_LV_0200_20150317_000203	We will allow you to enter since the Knights of Kaliss requested us to do so, but please stay where our gaze remains.
QUEST_LV_0200_20150317_000204	After Medzio Diena four years ago, Benas was appointed as the chief commander for the forces here.{nl}He ordered to take good care of the road leading to the Fortress of the Land.
QUEST_LV_0200_20150317_000205	If you are not in a hurry, please defeat the monsters in area A.{nl}That will be the first step for you to contribute to the goddess and the kingdom..{nl}Of course, I will promise you enough rewards.
QUEST_LV_0200_20150317_000206	Rebel Commander Ruklys, and the citizens here engaged in an evil conduct{nl}despite the selections from the great merchant, Premier Eminent. The result is this place.
QUEST_LV_0200_20150317_000207	That's not bad. Maybe the guards can use it.
QUEST_LV_0200_20150317_000208	After Medzio Diena, the Petrifying Frost are occurring irregularly.{nl}Due to irregular Petrifying Frost, we lost many of our soldiers on this wasteland.{nl}And we set the petrification devices limitedly here at the square of lamentation and we check the frequency of the frosts and move out the soldiers accordingly.
QUEST_LV_0200_20150317_000209	Check the petrification devices if you want to to loyal to the Kingdom and receive it's determination.
QUEST_LV_0200_20150317_000210	There are monsters who try to go after the soldiers who maintain the devices. Be careful.
QUEST_LV_0200_20150317_000211	The Petrifying Frost are to be driven away from the two places.{nl}I heard you are a quite famous Revelator. {nl}Aren't you?
QUEST_LV_0200_20150317_000212	Starting from a few months ago, the monsters who attacked the soldiers who maintain the devices have appeared.{nl}The soldiers who were able to survive told us that it was a gigantic bird.{nl}When we looked at the illustruated records of the Kingdom, it looked a lot like a Sparnashorn.
QUEST_LV_0200_20150317_000213	If you are the Revelator, you will have no problem fighting against it.{nl}But, not here in area A. The exhausted soldiers may get involved in it.
QUEST_LV_0200_20150317_000214	Use this absorption scroll to temporarily get rid of the Petrifying Frost that're starting to form in area A. {nl}The Sparnashorn will then appear from the Petrifying Frost in area B.
QUEST_LV_0200_20150317_000215	These guards had their lives threatened by the Sparnashorn and Petrifying Frost. {nl}They are blinded by fear so they don't stand a chance fighting against it.
QUEST_LV_0200_20150317_000216	The Petrifying Frost is gone, but only temporarily.{nl}There is no way we can stop the punishments Ruklys will bring no matter what we do.
QUEST_LV_0200_20150317_000217	Are you ready? It's time to defeat the Sparnashorn. {nl}But we don't have enough time. No matter how great a Revelator you are, if you are exposed to the Petrifying Frost, then that will be the end. {nl}Go to area B. The Sparnashorn will come attacking if you touch the detector. {nl}Defeat it and get out of there before the Petrifying Frost starts.
QUEST_LV_0200_20150317_000218	Running to evade it is also a good way. {nl}But you can't keep doing that for long. {nl}This has to be stopped when there's a great and loyal volunteer like you.
QUEST_LV_0200_20150317_000219	Hearing that it was defeated is the most hopeful story I've heard in years. {nl}Now I better let the troops rest first and tell them the good news.
QUEST_LV_0200_20150317_000220	There is something I always wanted to ask if I'd meet anyone here. {nl}Can you clean our workshop? Monsters pop out wherever I go and I can't work. {nl}The cowards of the Royal Army are too scared to even come near here so don't mind them. {nl}What do you think? Can you help me?
QUEST_LV_0200_20150317_000221	The kind of work I do is business secret so I can't tell you what it is... {nl}No one owns these things anyway. Finders keepers if you need it.
QUEST_LV_0200_20150317_000222	That fast? Have you not missed any of them?
QUEST_LV_0200_20150317_000223	Aren't you curious how I made it through the strict security? {nl}It's all becuase I have connections. There are some Royal Army guards who buy xxx claws to raise their work records. {nl}But actually, I don't want to be around those monsters. Especially with A's.
QUEST_LV_0200_20150317_000224	Can you catch them and get me those claws?
QUEST_LV_0200_20150317_000225	I think you misunderstood. We are archeologists, not thieves.
QUEST_LV_0200_20150317_000226	This seems quite pricey. {nl}Thank you very much.
QUEST_LV_0200_20150317_000227	You better stop if you're planning to get something from the Petrified City. {nl}Aside from us, there is the outrageous Dico Thieves. {nl}But you might be at least rewarded if you help us out.
QUEST_LV_0200_20150317_000228	In area A, there is a box that contains things the Dico Thieves bring in from outside. Can you get them? {nl}I took a sneak peek and seems like they are not back yet.
QUEST_LV_0200_20150317_000229	They are really clever. {nl}They bring in cheap antiques and place them where the Petrifying Frost blows. {nl}Then the antiques would petrify and turn into something that looks exquisite. {nl}I heard the nobles in big cities are fooled and buy them at expensive prices.
QUEST_LV_0200_20150317_000230	Seems like the Dico Thieves are planning to make their business bigger than I thought. {nl}That's an enormous amount. Do you think they also have connections with the Royal Army?
QUEST_LV_0200_20150317_000231	Petrified flowers are sold at very high prices among novice sculptors. {nl}They look at this to make counterfeits but they don't know where it is from. {nl}It wouldn't do any good to know anyway...
QUEST_LV_0200_20150317_000232	So, can you collect some petrified flowers?
QUEST_LV_0200_20150317_000233	My brother once studied hard to become a sculptor. {nl}Although I don't know where he is after Medzio Diena... {nl}I'm sure he's carving a beautiful Goddess Statue somewhere if he is alive...
QUEST_LV_0200_20150317_000234	This reminds me of my brother... {nl}Where and what would he be doing now? {nl}Anyway, thank you for collecting it.
QUEST_LV_0200_20150317_000235	I have a friend who's supposed to come here but he's nowhere to be found. You didn't think I'd work alone in this huge area, did you? {nl}I think something happened.
QUEST_LV_0200_20150317_000236	He is hiding among the guards in Security Area. This Water Bottle has a code on it. If you give it to the guards, he'll know and talk to you.
QUEST_LV_0200_20150317_000237	Better work on it quickly because the Petrifying Frost just sweeped by. {nl}You can know when and where the Petrifying Frost starts if you observe the Royal Army's retreat. {nl}And the fastest way to get that information is by becoming a Royal Army guard.
QUEST_LV_0200_20150317_000238	Hush! Lower your voice. It will be the end of both of us if we get caught.
QUEST_LV_0200_20150317_000239	Did that stupid Hubertas send you here? {nl}I told him many times that I'd go back if I'm done with my work here. {nl}I didn't know his stupidity would send someone. {nl}There is a big problem here actually.
QUEST_LV_0200_20150317_000240	Our family can't come into the city from outside. {nl}We need your help. {nl}We can't bring in my family without the troops knowing. {nl}They should all be gone from here.
QUEST_LV_0200_20150317_000241	I'm going to make a big fuss in area A. I'm going to call in Saltistter that are roaming around the area. {nl}In order to do this, you need to gather Scented Stone Powder from the monsters. Can you do it?
QUEST_LV_0200_20150317_000242	Our families should have passed this place earlier than the Royal Army. {nl}But Retia hurried things when the Petrifying Frost swept by some time ago so we weren't able to.
QUEST_LV_0200_20150317_000243	This is exactly right. {nl}If you pour this here, you will soon see the Saltistter show up it's huge self. {nl}But that is not our plan!
QUEST_LV_0200_20150317_000244	We should not make this place a battlefield. Then our families can't pass through. {nl}Let's think for a while...
QUEST_LV_0200_20150317_000245	Apply this powder on x monster that appear in area B. {nl}Then the bewitched Saltistter will attack them. {nl}Retia will not just stand and watch her area be invaded like that.
